gene,samples_ge_min_count,retained
AKT1S1,6,True
AKT2,6,True
AKT3,6,True
ALAD,6,True
ALAS1,6,True
ALCAM,6,True
ALDH16A1,6,True
ALDH18A1,6,True
ALDH1A1,6,True
ALDH1A3,6,True
ALDH1B1,6,True
ALDH2,6,True
ALDH3A1,6,True
ALDH3A2,6,True
ALDH3B1,6,True
ALDH3B2,6,True
ALDH4A1,6,True
ALDH5A1,6,True
ALDH6A1,6,True
ALDH7A1,6,True
ALDH9A1,6,True
ALDOA,6,True
ALDOC,6,True
ALG1,6,True
ALG10,6,True
ALG10B,6,True
ALG11,6,True
ALG12,6,True
ALG13,6,True
ALG2,6,True
ALG3,6,True
ALG5,6,True
ALG6,6,True
ALG8,6,True
ALG9,6,True
ALKBH4,6,True
ALKBH5,6,True
ALKBH7,6,True
ALKBH8,6,True
ALMS1,6,True
ALOX12,5,True
ALOX12B,6,True
ALOX12P2,6,True
ALOX15B,6,True
ALOX5,6,True
ALOXE3,6,True
ALPK1,6,True
ALPK2,6,True
ALPK3,6,True
ALPL,6,True
ALS2,6,True
ALS2CL,6,True
ALS2CR4,6,True
ALS2CR8,6,True
AMACR,6,True
AMBRA1,6,True
AMD1,6,True
AMDHD2,6,True
AMFR,6,True
AMICA1,6,True
AMIGO2,6,True
AMMECR1,6,True
AMMECR1L,6,True
AMOT,5,True
AMOTL1,6,True
AMOTL2,6,True
AMPD2,6,True
AMPD3,6,True
AMT,6,True
AMY2B,6,True
AMZ2,6,True
ANAPC11,6,True
ANAPC13,6,True
ANAPC2,6,True
ANAPC4,6,True
ANAPC5,6,True
ANAPC7,6,True
ANGEL1,6,True
ANGEL2,6,True
ANGPTL2,6,True
ANK1,6,True
ANK2,6,True
ANK3,6,True
ANKFY1,6,True
ANKH,6,True
ANKHD1,6,True
ANKIB1,6,True
ANKLE2,6,True
ANKMY1,6,True
ANKMY2,6,True
ANKRA2,6,True
ANKRD1,5,True
ANKRD10,6,True
ANKRD11,6,True
ANKRD12,6,True
ANKRD13A,6,True
ANKRD13B,6,True
ANKRD13C,6,True
ANKRD13D,6,True
ANKRD16,6,True
ANKRD17,6,True
ANKRD22,6,True
ANKRD23,6,True
ANKRD26,6,True
ANKRD27,6,True
ANKRD28,6,True
ANKRD32,6,True
ANKRD35,6,True
ANKRD39,6,True
ANKRD40,6,True
ANKRD44,5,True
ANKRD46,6,True
ANKRD49,6,True
ANKRD5,6,True
ANKRD50,6,True
ANKRD52,6,True
ANKRD56,6,True
ANKRD57,6,True
ANKRD6,6,True
ANKRD9,6,True
ANKS1A,6,True
ANKS3,6,True
ANKS6,6,True
ANKZF1,6,True
ANLN,6,True
ANO1,6,True
ANO10,6,True
ANO2,6,True
ANO6,6,True
ANO8,6,True
ANO9,6,True
ANP32B,6,True
ANP32E,6,True
ANTXR1,6,True
ANTXR2,6,True
ANUBL1,6,True
ANXA1,6,True
ANXA11,6,True
ANXA2,6,True
ANXA2P2,6,True
ANXA3,6,True
ANXA4,6,True
ANXA5,6,True
ANXA6,6,True
ANXA7,6,True
ANXA8L2,6,True
ANXA9,5,True
AOC3,6,True
AOF1,6,True
AOF2,6,True
AOX1,5,True
AP1B1,6,True
AP1G1,6,True
AP1G2,6,True
AP1GBP1,6,True
AP1M1,6,True
AP1M2,6,True
AP1S1,6,True
AP1S2,6,True
AP1S3,6,True
AP2A1,6,True
AP2A2,6,True
AP2B1,6,True
AP2M1,6,True
AP2S1,6,True
AP3B1,6,True
AP3D1,6,True
AP3M1,6,True
AP3M2,6,True
AP3S2,6,True
AP4B1,6,True
AP4E1,6,True
AP4M1,6,True
APAF1,6,True
APBA3,6,True
APBB1,6,True
APBB3,6,True
APC,6,True
APCDD1,6,True
APEH,6,True
APEX1,6,True
APEX2,6,True
APH1A,6,True
API5,6,True
APLF,6,True
APLNR,6,True
APLP2,6,True
APOA1BP,6,True
APOB48R,6,True
APOBEC3C,6,True
APOD,5,True
APOL1,6,True
APOL2,6,True
APOL3,6,True
APOL6,6,True
APOLD1,6,True
APOOL,6,True
APP,6,True
APPBP2,6,True
APPL1,6,True
APPL2,6,True
APRT,6,True
APTX,6,True
AQP1,6,True
AQP3,6,True
AQR,6,True
ARAP1,6,True
ARAP3,6,True
ARCN1,6,True
ARF1,6,True
ARF3,6,True
ARF4,6,True
ARF5,6,True
ARF6,6,True
ARFGAP1,6,True
ARFGAP2,6,True
ARFGAP3,6,True
ARFGEF1,6,True
ARFGEF2,6,True
ARFIP1,6,True
ARFIP2,6,True
ARFRP1,6,True
ARG2,6,True
ARGLU1,6,True
ARHGAP1,6,True
ARHGAP10,6,True
ARHGAP11A,6,True
ARHGAP12,6,True
ARHGAP17,6,True
ARHGAP18,6,True
ARHGAP19,6,True
ARHGAP20,6,True
ARHGAP21,6,True
ARHGAP24,6,True
ARHGAP25,6,True
ARHGAP26,6,True
ARHGAP27,6,True
ARHGAP28,6,True
ARHGAP29,6,True
ARHGAP30,6,True
