gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
IRX4,148.46259169281947,3.1306305994872647,0.5878846831982589,5.325246071144003,1.0081646478789367e-07,3.574051388542853e-06,1.0081646478789367e-07,True,tested,NM_016358,5,up
MET,1055.8839036756174,2.111728012196649,0.4008796546658748,5.267735560081571,1.381168712929231e-07,4.788963200671453e-06,1.381168712929231e-07,True,tested,NM_000245,21,up
CBS,165.7481964298217,2.8234324730219256,0.553922892268817,5.097157948207209,3.4479063986784724e-07,1.1111565835741113e-05,3.4479063986784724e-07,True,tested,NM_000071,17,up
WDR66,155.02835662873977,2.6410731967851393,0.5191420147227841,5.087380951425097,3.630421310640356e-07,1.152302304821377e-05,3.630421310640356e-07,True,tested,NM_144668,22,up
HOXD10,73.81001148570529,3.7880865616568915,0.745855772392218,5.078845940291091,3.7973447392618426e-07,1.1965673276779963e-05,3.7973447392618426e-07,True,tested,NM_002148,2,up
NKD2,151.52075877489185,2.4579442909442166,0.486779339826799,5.049401422457202,4.43196563357831e-07,1.3694773807756979e-05,4.43196563357831e-07,True,tested,NM_033120,10,up
PMEPA1,857.7639168550459,2.017589816491933,0.400474272576465,5.038001076852451,4.7041879744298894e-07,1.4324052158988084e-05,4.7041879744298894e-07,True,tested,NM_020182,4,up
OASL,129.79909686287488,2.561264984921242,0.5085905983645017,5.036005370837801,4.7534722701004346e-07,1.4350568870596311e-05,4.7534722701004346e-07,True,tested,NM_003733,6,up
GPR56,1362.080744780991,1.9273703230226704,0.3828649072402705,5.034074125297493,4.801638618092872e-07,1.445444565091224e-05,4.801638618092872e-07,True,tested,NM_005682,15,up
SHANK2,406.72016078838243,3.126647301756258,0.627828046239587,4.980101351769,6.355098250364125e-07,1.8702146279643e-05,6.355098250364125e-07,True,tested,NM_012309,10,up
IGF2BP2,200.6900371803342,2.879305019860897,0.5808656137526486,4.9569211047961925,7.161904137831519e-07,2.084292655735677e-05,7.161904137831519e-07,True,tested,NM_006548,16,up
KLF7,508.70138073617494,2.14637894598055,0.43489686944125616,4.935374560727834,7.999708305277992e-07,2.301769139554678e-05,7.999708305277992e-07,True,tested,NM_003709,4,up
HMGA2,472.9778220716705,3.8285108260098326,0.7762326852449201,4.93216905031749,8.132148808132707e-07,2.324606110149269e-05,8.132148808132707e-07,True,tested,NM_003483,5,up
PLEK2,367.4443758040914,2.140777725490254,0.4350328776649059,4.920956174579608,8.612241577381416e-07,2.4322637099991712e-05,8.612241577381416e-07,True,tested,NM_016445,9,up
SQLE,1329.0172755493957,2.1106081550842486,0.4325823448418393,4.879089912594397,1.0657647342826604e-06,2.9234789290792767e-05,1.0657647342826604e-06,True,tested,NM_003129,11,up
SDC4,2835.995163440779,1.8204245046764571,0.37369957131968257,4.871358289889953,1.108336431941435e-06,3.0047515263966262e-05,1.108336431941435e-06,True,tested,NM_002999,5,up
TRPV3,245.80904101430428,2.193188484937956,0.45514204465680114,4.818690144505821,1.4450376909175134e-06,3.776508950442636e-05,1.4450376909175134e-06,True,tested,NM_145068,18,up
ITGB4,11208.39817704608,2.391083444798303,0.49790169603979534,4.802320345193588,1.568375151368538e-06,4.07855181690046e-05,1.568375151368538e-06,True,tested,NM_000213,40,up
EFNB1,1680.999046965755,1.9036249352405312,0.39830410400052607,4.77932543531617,1.7588430536686817e-06,4.5290208631968555e-05,1.7588430536686817e-06,True,tested,NM_004429,5,up
AGRN,3798.6105018451854,1.841598378137467,0.38559025988402196,4.776050045173299,1.7877192003441942e-06,4.5921217405418344e-05,1.7877192003441942e-06,True,tested,NM_198576,36,up
PLAG1,220.6206318914988,2.535840794913834,0.5381929587740608,4.711768806284973,2.4557589243916434e-06,6.099338832070593e-05,2.4557589243916434e-06,True,tested,NM_002655,5,up
TMEM132A,1014.1897008324923,2.1869380578728506,0.465395767870685,4.699093135029353,2.6131927051916284e-06,6.444648488437382e-05,2.6131927051916284e-06,True,tested,NM_017870,11,up
CASK,1139.8203424618926,1.7874457198086646,0.3840655675614472,4.654011894785878,3.25538010948893e-06,7.870077023763537e-05,3.25538010948893e-06,True,tested,NM_003688,27,up
KLK9,139.0689281559835,2.3376757952960596,0.5036756328587082,4.641232656080918,3.4633690373338538e-06,8.307341348454217e-05,3.4633690373338538e-06,True,tested,NM_012315,5,up
SLC7A11,1576.1474035047966,1.9546784313695287,0.42214175053432057,4.630384056766285,3.649881134910219e-06,8.734772483682633e-05,3.649881134910219e-06,True,tested,NM_014331,12,up
TNFRSF12A,326.61795606389546,2.2878686832180506,0.4942713277290921,4.628770788161156,3.6784263743151314e-06,8.783078974671539e-05,3.6784263743151314e-06,True,tested,NM_016639,4,up
SEMA3C,1367.2097716547767,1.7990512918850063,0.38926652540422574,4.621643975209065,3.807109738161581e-06,9.036942512034449e-05,3.807109738161581e-06,True,tested,NM_006379,18,up
TNK1,378.06189914968394,1.9963268601750312,0.4319691944880781,4.621456542846432,3.8105516208178758e-06,9.036942512034449e-05,3.8105516208178758e-06,True,tested,NM_003985,13,up
FOXE1,498.6261243535242,2.1493372696403874,0.46836269357684,4.589044556956723,4.452793854422027e-06,0.00010349790317380048,4.452793854422027e-06,True,tested,NM_004473,1,up
MMP10,787.2543679638749,2.98023163014265,0.6509735259271432,4.578114948527411,4.6918486024256345e-06,0.00010857392382617558,4.6918486024256345e-06,True,tested,NM_002425,10,up
EPB41L4B,105.82100867574151,2.6174572104725944,0.5742959603546461,4.557679996314498,5.172175998092443e-06,0.00011845795837185825,5.172175998092443e-06,True,tested,NM_019114,26,up
ACOT7,420.6261902936805,1.9695403186888876,0.43265631920650416,4.552205136633723,5.308653478534765e-06,0.00012098202482751895,5.308653478534765e-06,True,tested,NM_007274,9,up
ETV4,267.77396875984306,1.9668119657389502,0.4328772645778669,4.543578807856646,5.530711465498683e-06,0.00012576981527387266,5.530711465498683e-06,True,tested,NM_001079675,13,up
HSD17B2,57.49695957677756,3.059333542280231,0.6764350609252846,4.522730590125559,6.104692251500825e-06,0.0001382239155048872,6.104692251500825e-06,True,tested,NM_002153,5,up
KCNK1,284.02362688086185,1.9372194004301275,0.43102669386768855,4.494430224372118,6.9756471173097814e-06,0.00015559691850203092,6.9756471173097814e-06,True,tested,NM_002245,3,up
ODC1,4583.195590415325,2.919157007167386,0.652721871542549,4.472283118487619,7.738887348965034e-06,0.00017009362026825658,7.738887348965034e-06,True,tested,NM_002539,12,up
