gene,GSM515513,GSM515514,GSM515515,GSM515516,GSM515517,GSM515518
PKN2,1127,1016,1544,1151,1694,1804
PKN3,96,141,84,232,523,101
PKNOX1,180,263,200,255,713,807
PKP1,17257,14920,15726,23651,12503,25532
PKP2,107,11,80,207,128,243
PKP3,2500,1226,1845,2373,2933,3732
PKP4,717,461,813,1107,1207,1017
PL-5283,278,288,488,932,774,1004
PLA2G12A,270,216,520,286,480,493
PLA2G15,174,385,230,433,844,442
PLA2G16,62,18,76,12,290,62
PLA2G3,291,87,161,287,181,2
PLA2G4A,119,29,226,264,173,100
PLA2G4B,1099,1658,1240,2116,1380,1067
PLA2G4D,269,194,186,46,626,96
PLA2G4E,760,1191,455,785,1012,436
PLA2G4F,268,269,319,705,275,669
PLA2G6,224,68,258,369,376,161
PLA2R1,708,440,1263,725,681,1863
PLAA,298,129,343,358,578,413
PLAG1,31,260,52,148,119,854
PLAGL1,391,21,854,189,1049,183
PLAGL2,275,482,291,503,517,433
PLAT,279,259,95,822,755,1215
PLAU,245,636,288,1298,1947,4482
PLAUR,45,175,33,233,453,201
PLCB1,144,35,113,95,900,267
PLCB2,117,88,180,212,873,178
PLCB3,524,972,535,625,973,1261
PLCD1,394,155,388,332,418,265
PLCD3,328,331,183,209,1070,654
PLCD4,131,0,321,191,301,75
PLCE1,159,25,233,334,929,150
PLCG1,721,1026,683,1097,2308,1687
PLCH2,640,410,714,2096,396,1252
PLCL1,78,16,89,28,332,117
PLCL2,132,9,134,52,739,93
PLCXD2,60,15,76,84,94,55
PLD1,511,325,818,590,1096,1470
PLD2,926,682,718,1057,1441,757
PLD3,486,338,422,1315,1726,779
PLDN,294,474,418,448,946,924
PLEC1,7734,21076,8166,26573,32096,44964
PLEK,98,106,175,201,1134,303
PLEK2,109,295,116,702,202,971
PLEKHA1,693,567,868,1620,1043,1956
PLEKHA2,395,437,454,405,1441,901
PLEKHA4,292,120,260,567,517,184
PLEKHA5,380,235,520,355,569,601
PLEKHA6,240,20,237,38,303,56
PLEKHA7,697,161,606,772,503,238
PLEKHB2,579,727,512,1371,1976,2032
PLEKHF1,78,200,86,169,317,381
PLEKHG1,429,85,274,632,1429,909
PLEKHG2,492,458,343,423,2078,784
PLEKHG3,1338,1486,1040,2630,1516,2823
PLEKHG4,184,233,411,466,542,185
PLEKHG5,894,1647,1022,2399,2524,2933
PLEKHG6,312,242,443,477,393,589
PLEKHH1,113,153,145,268,143,136
PLEKHH2,304,21,478,229,507,496
PLEKHH3,494,557,424,354,816,1044
PLEKHJ1,165,280,172,391,494,237
PLEKHM1,350,219,399,278,827,364
PLEKHM2,1290,1230,971,1352,3848,2156
PLEKHM3,116,86,144,171,307,354
PLEKHN1,316,200,360,451,353,253
PLEKHO1,99,64,115,181,841,179
PLK1,66,193,68,249,137,175
PLK2,1272,348,1306,622,1278,1794
PLK3,487,258,691,988,877,405
PLK4,86,206,142,237,161,248
PLOD1,354,831,346,812,2745,1605
PLOD2,319,258,278,350,1604,632
PLOD3,109,349,94,505,811,617
PLP2,482,498,524,1138,966,1251
PLRG1,381,326,469,770,580,786
PLS1,103,54,110,176,53,14
PLS3,1583,1241,1729,2884,3265,5093
PLSCR1,497,783,300,407,672,613
PLSCR3,207,242,158,583,468,625
PLSCR4,263,78,189,84,554,143
PLTP,395,351,477,611,3070,1130
PLXDC1,360,156,443,581,2166,1181
PLXDC2,415,87,543,682,1216,607
PLXNA1,1290,4747,823,4929,4532,7176
PLXNA2,1843,632,1463,2150,2876,1898
PLXNA3,451,726,377,1012,997,1407
PLXNA4,122,5,91,47,632,97
PLXNB1,2231,1278,2433,4336,2852,1710
PLXNB3,113,320,136,334,312,576
PLXNC1,158,66,191,223,1574,433
PLXND1,708,775,854,1226,7137,1288
PM20D2,452,330,445,425,1046,410
PMAIP1,73,210,256,236,148,259
PMEPA1,135,598,150,791,1273,3376
PMF1,131,137,194,272,380,249
PML,1075,358,699,1239,1572,2156
PMM1,213,243,341,331,375,395
PMM2,274,217,278,550,732,745
PMP22,390,100,318,243,1493,381
PMPCA,182,196,182,394,433,375
PMPCB,212,326,398,392,524,580
PMS1,171,87,257,344,369,272
PMVK,335,217,382,512,817,677
PNKD,72,184,50,570,510,249
PNKP,137,264,146,284,446,264
PNLIPRP3,58,8,99,18,121,174
PNMA1,96,214,142,536,527,464
PNN,1001,605,1098,1474,1358,1290
PNO1,79,148,72,233,241,258
PNPLA2,315,210,347,267,815,338
PNPLA6,522,319,326,461,1638,712
PNPLA7,128,5,169,139,318,142
PNPLA8,431,254,561,989,1183,1611
PNPO,313,364,337,246,940,736
PNPT1,190,165,287,437,314,411
PNRC1,1386,917,1671,2157,3024,2113
PODN,506,21,325,54,1644,170
PODXL,504,218,477,304,4058,769
PODXL2,65,11,71,16,85,34
POF1B,774,484,549,331,451,29
POFUT1,552,817,447,1152,1643,1712
POFUT2,103,133,197,130,698,287
POGK,409,302,363,672,859,940
POGZ,1043,653,1215,1347,2060,1378
POLA1,328,312,385,636,576,418
POLB,64,62,130,113,145,267
POLD1,207,296,188,294,498,522
POLD2,451,523,331,708,1054,399
POLD3,129,116,120,166,495,250
POLDIP2,606,605,351,626,1170,1091
POLDIP3,998,1110,949,2340,1910,1859
POLE,704,832,730,1516,1214,920
POLE3,373,224,471,1056,841,1074
POLE4,81,147,165,230,322,318
POLG,587,851,661,1292,1948,1184
POLG2,68,65,183,105,184,114
POLH,315,143,299,307,663,328
POLI,157,50,331,261,487,203
POLK,267,183,478,281,775,459
POLL,163,124,186,262,366,278
POLM,218,216,282,368,690,288
POLQ,272,506,390,726,423,625
POLR1A,957,936,829,1638,1790,1507
POLR1B,267,236,319,529,427,440
POLR1C,86,116,89,93,160,154
POLR1D,217,196,279,156,434,491
POLR1E,198,68,104,262,279,186
