library,direction,Term,overlap,set_size,query_size,background_size,fold_enrichment,pvalue,padj,genes
MSigDB_Hallmark_2020,up,TNF-alpha Signaling via NF-kB,12,162,363,10506,2.1438628711355987,0.010409185355517792,0.036432148744312276,CEBPB;EFNA1;F2RL1;INHBA;LAMB3;PLAU;PMEPA1;SDC4;SERPINE1;TRIB1;VEGFA;ZC3H12A
MSigDB_Hallmark_2020,up,Hypoxia,16,141,363,10506,3.284215462165172,2.786993548052869e-05,0.0002731253677091812,ADORA2B;CHST2;DDIT4;EFNA1;ENO2;GPC1;KDELR3;KLF7;NDRG1;SDC4;SERPINE1;SLC2A1;TGFBI;TMEM45A;TPBG;VEGFA
MSigDB_Hallmark_2020,up,Cholesterol Homeostasis,5,63,363,10506,2.2969959333595695,0.0660156819524267,0.14703492798495038,CBS;DHCR7;SQLE;TNFRSF12A;TRIB3
MSigDB_Hallmark_2020,up,Mitotic Spindle,7,176,363,10506,1.15110818933133,0.4069963672993332,0.6043279393232523,BUB1;CEP72;FSCN1;KATNB1;KIF2C;TOP2A;TPX2
MSigDB_Hallmark_2020,up,Wnt-beta Catenin Signaling,0,33,363,10506,0.0,1.0,1.0,
MSigDB_Hallmark_2020,up,TGF-beta Signaling,4,47,363,10506,2.463161596623879,0.07827535494847332,0.16676053880326924,CDH1;FURIN;PMEPA1;SERPINE1
MSigDB_Hallmark_2020,up,IL-6/JAK/STAT3 Signaling,2,58,363,10506,0.9980051296665716,0.6005809721682357,0.7970077335152386,TNFRSF12A;TNFRSF21
MSigDB_Hallmark_2020,up,DNA Repair,2,114,363,10506,0.5077569957952733,0.9089513339663607,1.0,BCAM;ZNF707
MSigDB_Hallmark_2020,up,G2-M Checkpoint,14,156,363,10506,2.5973723246450517,0.0010031136667774825,0.005989902335514049,AURKB;BUB1;CDC6;GINS2;HMGA1;KIF2C;MCM2;MYBL2;ODC1;SLC7A5;SQLE;TOP2A;TPX2;UBE2C
MSigDB_Hallmark_2020,up,Apoptosis,4,126,363,10506,0.9187983733438279,0.6380335639353991,0.8227274903377515,BID;ENO2;TNFRSF12A;TOP2A
