gene,discovery_log2FoldChange,discovery_lfcSE,discovery_pvalue,discovery_padj,discovery_test_status,validation_log2FoldChange,validation_lfcSE,validation_pvalue,validation_padj,validation_test_status,discovery_candidate,mapping_status,testable,same_direction,replicated,replicated_large_effect,validation_outcome,lfc_difference
ACTC1,-4.254564242175488,0.6118022831349552,3.546965461747789e-12,3.0797040612497744e-10,tested,0.7583224817497971,0.693872824354172,0.2744447505752976,0.36841684573731387,tested,True,matched_exact_symbol,True,False,False,False,not_significant,5.012886723925285
ACTN2,-5.43509594297806,0.6267976411674762,4.275405480485151e-18,1.151728460973769e-15,tested,-1.550732023190576,0.7314586665338656,0.03400147416635186,0.06510687769463427,tested,True,matched_exact_symbol,True,True,False,False,not_significant,3.884363919787484
ACVRL1,-1.462112580072927,0.489562379023548,0.0028212573970054,0.0263467824115012,tested,0.9529887061129052,0.30351896471548917,0.0016906347713715145,0.004993849192285543,tested,True,matched_exact_symbol,True,False,False,False,significant_opposite_direction,2.4151012861858323
ADAMTS1,-2.246948468821892,0.380309343891029,3.458394559246537e-09,1.5728958112313473e-07,tested,-0.1091055540404708,0.41608662856885953,0.7931530980068717,0.8434782722325088,tested,True,matched_exact_symbol,True,True,False,False,not_significant,2.1378429147814213
ADAMTS17,-2.547186611921733,0.5882430914070271,1.4900114622850451e-05,0.0003022019386634,tested,-1.0186493974467647,0.3005042775453968,0.0006994363399434924,0.002333197284244317,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.528537214474968
ADAMTS5,-2.423858244960332,0.5160771083691051,2.6440112228677406e-06,6.498264885314725e-05,tested,0.7577779547527834,0.4007151758112277,0.05861583088318144,0.10299169025148032,tested,True,matched_exact_symbol,True,False,False,False,not_significant,3.1816361997131155
ADAMTS9,-2.731692992689051,0.4361744746205372,3.7801707277666254e-10,2.1237686452361592e-08,tested,0.09376160394965638,0.43659857246722406,0.8299585577777608,0.8712136193310295,tested,True,matched_exact_symbol,True,False,False,False,not_significant,2.8254545966387075
ADAMTSL1,-3.280636472421942,0.6511236395830663,4.693826125747024e-07,1.4324052158988084e-05,tested,0.0700214608878316,0.5204357939432519,0.8929725002595695,0.9197668280226957,tested,True,matched_exact_symbol,True,False,False,False,not_significant,3.3506579333097735
ADCY1,-2.4199704910725486,0.5588173856262837,1.4875687635817516e-05,0.0003022019386634,tested,-0.08323714199360942,0.3651105483455709,0.8196634088033657,0.8628799154954044,tested,True,matched_exact_symbol,True,True,False,False,not_significant,2.3367333490789393
ADCY4,-2.287988057988835,0.4463466364493436,2.959091081828113e-07,9.654723883753466e-06,tested,-0.11209872529122664,0.3300521110850195,0.7341280476882619,0.7958329680089563,tested,True,matched_exact_symbol,True,True,False,False,not_significant,2.1758893326976083
ADCY6,-1.6101349715691438,0.3992094161798733,5.499686095087973e-05,0.000960832719108,tested,-1.5296402896164536,0.25362608499375255,1.628632360037328e-09,2.2890620178477407e-08,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.08049468195269016
ADH7,-1.7595917252308426,0.4832021516428259,0.0002710299575174,0.003796587644905,tested,-4.0231821860421455,0.7780524014323019,2.3304771843086797e-07,1.9771396264215747e-06,tested,True,matched_exact_symbol,True,True,True,True,replicated,-2.2635904608113027
ADORA2B,1.4742540595980462,0.4321532489165628,0.0006462665618682,0.0077774072153351,tested,0.9564680993071706,0.3717227155412307,0.010080118490779805,0.02312132036242862,tested,True,matched_exact_symbol,True,True,True,False,replicated,-0.5177859602908756
ADPRH,-1.8373115100299569,0.517449634424333,0.0003841993674705,0.0051029058845075,tested,0.7091832069055122,0.21458112440697769,0.0009498810153033772,0.003041647198441532,tested,True,matched_exact_symbol,True,False,False,False,significant_opposite_direction,2.5464947169354692
ADPRHL1,-4.426011390521618,0.8699358749750036,3.623472399094276e-07,1.152302304821377e-05,tested,-1.718396385665579,0.3929799712081187,1.2270089834216888e-05,6.724627066035353e-05,tested,True,matched_exact_symbol,True,True,True,True,replicated,2.707615004856039
ADRA2A,-2.5112087876212867,0.5758757639297544,1.296600418116321e-05,0.0002698244531597,tested,0.2708949359880552,0.3649386252852991,0.4579039412051139,0.5542541093450385,tested,True,matched_exact_symbol,True,False,False,False,not_significant,2.782103723609342
ADRB2,-2.029331007097334,0.508525444426204,6.590123356964907e-05,0.0011113296306303,tested,-0.5125641908873647,0.362809017164125,0.1577245813440583,0.23512475171132793,tested,True,matched_exact_symbol,True,True,False,False,not_significant,1.516766816209969
AFAP1L2,1.4586512620875929,0.4064508706054139,0.0003322650791068,0.0044984238673927,tested,1.331839171618658,0.3262922062547635,4.4700245276100756e-05,0.0002074621368118561,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.12681209046893493
AGBL1,-5.375853055147332,0.951318109189243,1.595615659794634e-08,6.447514662231702e-07,tested,-2.1758155551542795,0.6603845187965321,0.0009850202474948626,0.0031380709294633762,tested,True,matched_exact_symbol,True,True,True,True,replicated,3.2000374999930528
AGL,-1.264842989367769,0.4164130301138414,0.0023857143464571,0.0231142654815865,tested,-0.8462836719353398,0.2744850328866909,0.0020480899008719724,0.005895391908568475,tested,True,matched_exact_symbol,True,True,True,False,replicated,0.41855931743242925
AGRN,1.841598378137467,0.3855902598840219,1.7877192003441942e-06,4.592121740541834e-05,tested,1.7918460685106248,0.22237213892098492,7.76345134691445e-16,4.4702453723362234e-14,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.049752309626842184
AHNAK2,1.3321667914845463,0.4133627309847387,0.0012696411680097,0.0137372297745725,tested,0.8578359060769931,0.40648531169652985,0.034826181068387044,0.06642240966670677,tested,True,matched_exact_symbol,True,True,False,False,not_significant,-0.4743308854075532
AIF1L,-3.608018272936385,0.4789796235590927,4.969498715543594e-14,5.613930484462474e-12,tested,-2.6609147945724376,0.39633037044725494,1.89515373535206e-11,4.255156500130097e-10,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.9471034783639474
AK1,-1.380286339261491,0.4343412168829352,0.0014835369716583,0.0155394211607598,tested,-0.6215344282025432,0.32154491260836987,0.053240752395393776,0.09493980322255534,tested,True,matched_exact_symbol,True,True,False,False,not_significant,0.7587519110589478
AKAP12,-1.6692025649657456,0.5266156620422141,0.0015260746798191,0.015921490155094,tested,0.3041188357582304,0.4249352919533315,0.47418729737268406,0.5694458596678156,tested,True,matched_exact_symbol,True,False,False,False,not_significant,1.973321400723976
AKAP2,-1.504844828007314,0.4224384008954007,0.0003676447765263,0.0049392276498546,tested,0.7487875782724446,0.3581386817959867,0.03654819413105924,0.06917576657695587,tested,True,matched_exact_symbol,True,False,False,False,not_significant,2.2536324062797584
AKAP6,-3.191800708201244,0.4843856203876981,4.416683354986695e-11,3.052741797861198e-09,tested,-0.4665289304124068,0.3183466016058904,0.1427914158578549,0.21663753643795539,tested,True,matched_exact_symbol,True,True,False,False,not_significant,2.725271777788837
AKR1B10,1.5598111654032023,0.4421402081394681,0.0004189250363959,0.0054878135067029,tested,0.7264691986961352,0.6237769005138515,0.24416885521731357,0.335830949732551,tested,True,matched_exact_symbol,True,True,False,False,not_significant,-0.8333419667070671
AKR1C1,2.203694137506684,0.5516443773611543,6.47562303494598e-05,0.0010955377714193,tested,0.05425245277548075,0.4087677911355349,0.8944132936085062,0.9208788885569497,tested,True,matched_exact_symbol,True,True,False,False,not_significant,-2.1494416847312032
AKR1C3,3.487759377805073,0.5281875421082669,4.022147129396343e-11,2.7984554795654287e-09,tested,1.2140437320752593,0.30793755988274263,8.063675702988442e-05,0.00034961528126874837,tested,True,matched_exact_symbol,True,True,True,True,replicated,-2.2737156457298138
ALDH1A1,-1.686239988495314,0.5007956984280996,0.0007595720131592,0.0088177498013823,tested,-4.232961070223049,0.5787116206807551,2.5842488955789457e-13,8.417672041256238e-12,tested,True,matched_exact_symbol,True,True,True,True,replicated,-2.546721081727735
ALDH9A1,-1.448458543163595,0.4286789818169495,0.0007277948153232,0.0085528102122889,tested,-1.3995257447889855,0.24343864749043495,8.977944719435161e-09,1.0641189458294664e-07,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.04893279837460951
ALKBH4,1.728541026194811,0.6181962520889495,0.0051722750059147,0.0426865052726943,tested,0.07227239506962989,0.17132562749346514,0.6731401353276493,0.7447348094458002,tested,True,matched_exact_symbol,True,True,False,False,not_significant,-1.6562686311251813
ALOX12,-3.602934413491088,0.7402451536973805,1.1318025653620797e-06,3.055533006958381e-05,tested,-3.6160326253182773,0.9305058102885807,0.00010187026377262414,0.00042977646143732947,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.013098211827189399
