gene,samples_ge_min_count,retained
TSPAN6,30,True
TNMD,6,False
DPM1,30,True
SCYL3,30,True
C1orf112,30,True
FGR,30,True
CFH,30,True
FUCA2,30,True
GCLC,30,True
NFYA,30,True
STPG1,30,True
NIPAL3,30,True
LAS1L,30,True
ENPP4,30,True
SEMA3F,30,True
CFTR,20,True
ANKIB1,30,True
CYP51A1,30,True
KRIT1,30,True
RAD52,30,True
MYH16,11,False
BAD,30,True
LAP3,30,True
CD99,30,True
HS3ST1,30,True
AOC1,27,True
WNT16,11,False
HECW1,29,True
MAD1L1,30,True
LASP1,30,True
SNX11,30,True
TMEM176A,30,True
M6PR,30,True
KLHL13,30,True
CYP26B1,30,True
ICA1,30,True
DBNDD1,30,True
ALS2,30,True
CASP10,30,True
CFLAR,30,True
TFPI,30,True
NDUFAF7,30,True
RBM5,30,True
MTMR7,8,False
SLC7A2,30,True
ARF5,30,True
SARM1,30,True
POLDIP2,30,True
PLXND1,30,True
AK2,30,True
CD38,30,True
FKBP4,30,True
KDM1A,30,True
RBM6,30,True
CAMKK1,30,True
RECQL,30,True
VPS50,30,True
HSPB6,18,True
ARHGAP33,29,True
NDUFAB1,30,True
PDK4,30,True
SLC22A16,2,False
ZMYND10,4,False
ABCB5,4,False
ARX,9,False
SLC25A13,30,True
ST7,30,True
CDC27,30,True
SLC4A1,4,False
CALCR,4,False
HCCS,30,True
DVL2,30,True
PRSS22,30,True
UPF1,30,True
SKAP2,30,True
SLC25A5,30,True
MCUB,30,True
HOXA11,10,False
POLR2J,30,True
DHX33,30,True
MEOX1,29,True
THSD7A,30,True
LIG3,30,True
RPAP3,30,True
ACSM3,26,True
REXO5,30,True
CIAPIN1,30,True
SPPL2B,30,True
FAM214B,30,True
COPZ2,30,True
PRKAR2B,30,True
MSL3,30,True
CREBBP,30,True
TSPOAP1,30,True
MPO,3,False
PON1,0,False
GCFC2,30,True
WDR54,30,True
CROT,30,True
ABCB4,30,True
KMT2E,30,True
RHBDD2,30,True
SOX8,16,True
IBTK,30,True
ZNF195,30,True
MYCBP2,30,True
FBXL3,30,True
ITGAL,30,True
PDK2,30,True
ITGA3,30,True
ZFX,30,True
LAMP2,30,True
ITGA2B,12,False
ASB4,15,True
GDE1,30,True
REX1BD,30,True
CRLF1,29,True
AC003665.1,30,True
TMEM98,30,True
YBX2,14,False
KRT33A,12,False
MAP3K14,30,True
ABCC8,4,False
CACNG3,0,False
TMEM132A,30,True
AP2B1,30,True
TAC1,2,False
ZNF263,30,True
CX3CL1,30,True
SPATA20,30,True
CACNA1G,27,True
TNFRSF12A,30,True
DLX6,13,False
MAP3K9,30,True
RALA,30,True
BAIAP2L1,30,True
KDM7A,30,True
ETV1,30,True
AGK,30,True
ALDH3B1,30,True
TTC22,30,True
PHTF2,30,True
CCL26,17,True
FARP2,30,True
USH1C,1,False
GGCT,30,True
DBF4,30,True
TBXA2R,14,False
IFRD1,30,True
LGALS14,0,False
COX10,30,True
GTF2IRD1,30,True
PAF1,30,True
VPS41,30,True
ARHGAP44,30,True
ELAC2,30,True
SCIN,30,True
ARSD,30,True
