library,Term,ES,NES,pvalue,padj,fwer,genes
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.6835754616272613,3.3645249247496305,0.0,0.0,0.0,PTHLH;GREM1;MMP3;LAMC2;SERPINE1;ADAM12;INHBA;TNC;LOXL2;PLAUR;TNFRSF12A;FAP;COL4A1;COL5A2;THBS2;TGFB1;COL12A1;CTHRC1;COL1A1;LUM;COL3A1;ITGA5;TGFBI;FN1;COL4A2;COL5A1;MMP14;PMEPA1;COL6A3;RGS4;COL1A2;SERPINH1;MMP2;SPARC;FSTL3;THY1;MATN3;POSTN;SERPINE2;CXCL8;LAMA1;P3H1;SPP1;COLGALT1;SNAI2;BMP1;NID2;PLOD3;CDH11;PVR;LAMA3;CXCL1;CALU;LRRC15;NTM;PDGFRB;PLOD1;COL6A2;FOXC2;BASP1;FLNA;FBN1;NNMT;LGALS1;BGN;SCG2;COL16A1;IGFBP3;SPOCK1;VCAN;DKK1;NT5E;LAMC1;ITGB1;HTRA1;COL5A3;FBN2;SFRP4;CALD1;FSTL1;VEGFA;COL8A2;LOX;PFN2;VEGFC;LOXL1;CXCL6;TNFAIP3;MXRA5;ENO2;EDIL3;GLIPR1;COL7A1;ITGAV;EMP3;MFAP5;CDH6;MCM7;GJA1;IL6;PCOLCE;THBS1;AREG;GPX7;TFPI2;FBLN2;PPIB;PMP22;TIMP1;PLOD2;ITGB5;ITGB3
MSigDB_Hallmark_2020,E2F Targets,0.6061232504674684,2.9735716049665553,0.0,0.0,0.0,TRIP13;HMGB3;PRIM2;AURKA;CDKN3;MYBL2;CDKN2A;KPNA2;CDC20;RAD21;UBE2S;CDCA3;ORC6;CKS1B;KIF4A;CDC25B;DNMT1;PSMC3IP;DDX39A;PRPS1;DLGAP5;NOP56;MELK;RAD51AP1;GINS1;PRKDC;PLK1;RANBP1;BIRC5;CDCA8;TACC3;KIF2C;CENPE;DIAPH3;TK1;TUBG1;EIF2S1;SPC24;CHEK1;RRM2;UBE2T;CCNE1;MAD2L1;NCAPD2;CKS2;RNASEH2A;CDK1;GINS4;AURKB;ATAD2;TIMELESS;ASF1B;MTHFD2;MCM7;XPO1;TBRG4;STMN1;LYAR;SNRPB;CDKN1A;DONSON;DSCC1;HMMR;BUB1B;MCM5;CCNB2;SPAG5;PHF5A;PCNA;CNOT9;MCM6;RPA3;CSE1L;CHEK2;KIF18B;TFRC;RAN;POLE4;NUP107;DCLRE1B;SPC25;MCM2;RAD1;SSRP1;BRMS1L;CDK4;PAICS;RACGAP1;DEK;BRCA1;MCM4;DEPDC1;NUP205;JPT1;TOP2A;NBN;NOLC1;SUV39H1;CDC25A;HUS1;RFC3;POLD1;SLBP;PLK4;CTPS1;CENPM;XRCC6;NASP;NME1;PPP1R8;MKI67;MCM3;SRSF1;GINS3;NUP153;SMC4;BRCA2;MMS22L;SMC1A;PTTG1;PRDX4;ANP32E;POLA2;KIF22;ILF3;POP7
MSigDB_Hallmark_2020,Interferon Gamma Response,0.5950010871801353,2.9429320646618575,0.0,0.0,0.0,TNFAIP6;IFI30;OASL;ISG15;PARP12;ZNFX1;CXCL11;SOCS1;IFI27;BST2;TAP1;EPSTI1;CXCL10;OAS2;PTGS2;HIF1A;IDO1;PSMB2;RSAD2;IFITM3;STAT2;IFIT3;C1S;CD86;ADAR;ICAM1;OAS3;EIF2AK2;DDX60;PARP14;IRF9;CCL5;C1R;XAF1;DDX58;SP110;SOCS3;IFIT1;HELZ2;FPR1;PSMA3;IFI44;CXCL9;TAPBP;STAT1;HLA-B;NCOA3;IFNAR2;CMTR1;HLA-A;TNFAIP3;IFI35;TOR1B;PTPN2;PML;RTP4;IFIH1;MTHFD2;MVP;NLRC5;RIPK2;CDKN1A;NUP93;CASP7;IL6;PLSCR1;TNFSF10;PNPT1;IRF7;LY6E;CASP8;BPGM;USP18;MT2A;IFIT2;NMI;PNP;CMPK2;PSMA2;UBE2L6;IL15RA;B2M;CMKLR1;IFI44L;ST3GAL5;STAT4;ZBP1;VCAM1;PTPN1;PSMB8;BATF2;TRIM21;CD274;BTG1;IL4R;OGFR;LGALS3BP;MX2;PSMB10;NFKBIA;STAT3;SERPING1;FCGR1A;RBCK1;IL2RB;LCP2;UPP1
MSigDB_Hallmark_2020,Interferon Alpha Response,0.661865335134333,2.932301591348572,0.0,0.0,0.0,IFI30;OASL;ISG15;PARP12;CXCL11;IFI27;PROCR;CCRL2;BST2;TAP1;EPSTI1;CXCL10;RSAD2;IFITM3;IFITM1;STAT2;IFIT3;C1S;ADAR;EIF2AK2;DDX60;PARP14;IRF9;SP110;HELZ2;PSMA3;IFI44;CMTR1;PARP9;IFI35;HLA-C;RTP4;IFIH1;RIPK2;PLSCR1;PNPT1;IRF7;LY6E;CASP8;USP18;IFIT2;NMI;CMPK2;UBE2L6;B2M;IFI44L;LAMP3;SELL;CD47;PSMB8;BATF2;TMEM140;TRIM21;IL4R;OGFR;LGALS3BP
MSigDB_Hallmark_2020,G2-M Checkpoint,0.561626208172543,2.7704120143488784,0.0,0.0,0.0,TGFB1;HMGB3;PRIM2;AURKA;CDKN3;MYBL2;CDC6;UBE2C;KPNA2;CDC20;RAD21;UBE2S;ORC6;CKS1B;HIF1A;CDC45;KIF4A;CDC25B;E2F4;DDX39A;TPX2;STIL;E2F1;CENPA;PLK1;BIRC5;TACC3;KIF2C;BUB1;E2F3;NDC80;CENPE;ODC1;EXO1;DTYMK;CHEK1;ODF2;CDC27;DBF4;TROAP;ATF5;MAD2L1;CKS2;CDK1;KNL1;PML;AURKB;SQLE;XPO1;STMN1;BUB3;DKC1;HMMR;MCM5;CCNB2;CCNF;MCM6;NEK2;HSPA8;RAD54L;MT2A;SLC7A5;MCM2;TTK;GINS2;CENPF;CDK4;RACGAP1;CCNA2;JPT1;TOP2A;MNAT1;SMC2;NOLC1;PRC1;SLC38A1;SUV39H1;CDC25A;HUS1;POLQ;PLK4;HIRA;TENT4A;NUP50;PRMT5;KATNA1;CUL1;NASP;FBXO5;RBL1;SNRPD1;MKI67;NUSAP1;MCM3;SRSF1;MARCKS;CDC7;NCL;KIF20B;SMC4;EWSR1;BRCA2;SMC1A;PTTG1;CHMP1A;ORC5;KPNB1;FANCC;POLA2;KIF22;ILF3;G3BP1
MSigDB_Hallmark_2020,Angiogenesis,0.747667443423304,2.6311859771373256,0.0,0.0,0.0,COL5A2;LUM;COL3A1;POSTN;SPP1;VAV2;APP;JAG2;PTK2;VCAN;PDGFA;OLR1;FSTL1;VEGFA;CXCL6;ITGAV;TNFRSF21;STC1;TIMP1;KCNJ8;JAG1
MSigDB_Hallmark_2020,Inflammatory Response,0.5385490034970519,2.6255214169065293,0.0,0.0,0.0,SERPINE1;INHBA;PLAUR;TNFRSF9;TPBG;TNFAIP6;ITGA5;PDPN;MMP14;CXCL11;CHST2;MET;CXCL8;CCRL2;BST2;TNFSF9;PVR;OSMR;CXCL10;HIF1A;AHR;OSM;IFITM1;HAS2;ABCA1;ICAM1;CCL20;EIF2AK2;C5AR1;ATP2C1;SPHK1;OLR1;CCL5;FPR1;ADRM1;MEFV;AQP9;DCBLD2;CXCL9;TAPBP;IL1B;PTGIR;CXCL6;EMP3;RTP4;PCDH7;RIPK2;CDKN1A;CSF3;IL10;CCR7;IL6;TNFSF10;MSR1;IRF7;LY6E;IL1R1;AXL;ADM;HRH1;NMI;PSEN1;TIMP1;ITGB3;IL15RA;CCL22;CMKLR1;GPR132;APLNR;LAMP3;TLR2;PTPRE;SELL;LYN;TNFRSF1B;ATP2B1;IL4R;PTAFR;RGS1;C3AR1;NFKBIA;STAB1;SCARF1;BEST1;ADORA2B;IL2RB;IL18R1;LIF;LCP2;NLRP3;CSF3R;RGS16;CYBB;BDKRB1
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.511285809560578,2.5281273477859543,0.0,0.0,0.0,PLAU;SERPINE1;INHBA;TNC;PLAUR;TNFRSF9;CEBPB;TNFAIP6;PMEPA1;CXCL11;SLC2A6;ACKR3;CD80;CLCF1;GFPT2;CCRL2;TNFSF9;TAP1;CXCL1;CXCL10;MSC;PTGS2;NFIL3;ABCA1;RELB;ICAM1;CCL20;LAMB3;BCL2A1;KLF10;SPHK1;DRAM1;OLR1;CCL5;DDX58;VEGFA;SLC2A3;SOCS3;FJX1;IL1B;TNIP2;KYNU;TGIF1;CXCL6;TNFAIP3;PANX1;TRIB1;PFKFB3;IFIH1;NFKBIE;F2RL1;BMP2;RIPK2;SPSB1;CDKN1A;IL6;FOSL1;CXCL3;AREG;IFIT2;REL;EFNA1;EHD1;IL15RA;JAG1;NFKB2;GEM;TLR2;PTPRE;LITAF;RNF19B;ATP2B1;PHLDA2;ETS2;BTG1;CD44;SDC4;YRDC;MARCKS;IER5;NFKBIA;TIPARP;RHOB;ZC3H12A;SAT1;LIF;TNFAIP8;TRAF1;TANK
MSigDB_Hallmark_2020,Myc Targets V1,0.5018001026028875,2.482128609148977,0.0,0.0,0.0,CBX3;KPNA2;SNRPB2;CDC20;CCT5;CDC45;NCBP2;PSMB2;RFC4;PSMA6;HPRT1;PSMA7;NOP56;PSMA1;HSP90AB1;RANBP1;PSMD3;ODC1;CDK2;ERH;EIF2S1;EIF3B;PSMD7;PSMA4;MAD2L1;PSMD14;LDHA;CCT3;PSMB3;DDX18;MCM7;XPO1;BUB3;CAD;MCM5;EIF2S2;PCNA;HDGF;PRPF31;LSM2;MCM6;UBE2L3;RAN;COPS5;MCM2;PPM1G;SSB;CDK4;DEK;NCBP1;PSMC6;GLO1;SRM;CCNA2;MCM4;PSMC4;PSMA2;HNRNPC;PWP1;PSMD1;RNPS1;NOLC1;DDX21;ILF2;CCT2;TYMS;APEX1;ABCE1;PGK1;DHX15;SET;CTPS1;CCT4;MRPL9;YWHAQ;AIMP2;XRCC6;CUL1;NME1;SNRPD1;CCT7;VBP1;FAM120A;SRSF1;EIF4A1;PPIA;RRM1;SNRPG;TRIM28;POLE3;PRDX4;KPNB1;PRPS2;TCP1;G3BP1;HDAC2;SSBP1;PTGES3;RRP9;RUVBL2;SNRPD2;HNRNPR;CNBP
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.5599887870507385,2.4180126541817284,0.0,0.0,0.0,TNFRSF12A;TGFB1;CXCL13;CXCL11;SOCS1;BAK1;CXCL1;OSMR;CXCL10;STAT2;IL2RA;IRF9;LTB;SOCS3;TNFRSF1A;CXCL9;STAT1;IL1B;PTPN2;TNFRSF21;IL6;IFNGR1;CXCL3;IL1R1;IL12RB1;ITGB3;IL15RA;GRB2;ITGA4;IL3RA;TLR2;CCR1;PTPN1;ACVRL1;TNFRSF1B;CD44;IL4R;CBL;STAT3;IL18R1;CSF3R
