gene,GSM5593747,GSM5593748,GSM5593749,GSM5593750,GSM5593751,GSM5593752,GSM5593753,GSM5593754,GSM5593755,GSM5593756,GSM5593757,GSM5593758,GSM5593759,GSM5593760,GSM5593761,GSM5593762,GSM5593763,GSM5593764,GSM5593765,GSM5593766,GSM5593767,GSM5593768,GSM5593769,GSM5593770,GSM5593771,GSM5593772,GSM5593773,GSM5593774,GSM5593775,GSM5593776
TSPAN6,10.692086681332475,9.506530216760419,11.597365844849023,10.114048893388109,8.954308331179705,9.890914567602703,9.630536741648301,10.295543765577534,11.2923087173953,10.352859948417004,10.863585755526968,8.437290969201323,8.705479855239057,9.998479405488334,12.581880753959892,9.195875023188675,11.662492486590704,10.280398315536244,9.970264136117919,10.376894420884746,10.810020596532176,10.430479369542239,10.322553912799057,10.69649733782828,10.948472484252681,9.934306795465176,11.632774460173685,10.074223295026705,10.880545421834302,11.140936221199297
DPM1,9.724671669940047,9.891305658706163,9.700719085951702,10.448534881082951,9.666584102807438,9.945545848916174,9.317724298306205,9.684531568850723,9.804328229990398,10.412955178861122,9.579557459504196,9.642943418467514,9.405843699176586,9.885512191797796,9.882310007925373,9.810517283179895,9.828199492131935,10.285044691467784,9.619188462006464,9.916478582243881,8.998735589602372,10.319739653356198,9.365915049785531,10.510604986252007,9.862006976283794,9.745903154390211,9.400091918402424,10.275067999415757,9.98381208981822,10.524813131455836
SCYL3,9.225412877298249,8.203374119418104,9.229321584713187,8.523878736174945,9.288427099082412,9.67179302479704,9.222408994234804,8.642863634514574,9.491651093644156,8.419735984729396,9.609806907362124,9.01982395460585,9.358274616240386,9.129366290704757,9.718773842519694,8.523887363168921,9.259055766302398,8.82125150775042,8.681752583021199,8.549060574944013,9.532269696602247,9.10491499523784,8.796439854705765,8.535401893507762,9.133043678385516,8.48167840197145,9.224420070180528,9.162312637575369,9.426440668666606,8.518187881866055
C1orf112,7.1781351671081115,8.298386093658717,7.197465912538934,7.902242180869413,7.182917947566581,8.308987953435294,7.538317005654465,8.07515978462473,7.233284233492346,8.12916227453639,7.603358014210239,8.279149632454446,7.648066367874156,9.531813344938437,6.454383322174451,7.766899615357844,7.637076575408537,7.6907571485642405,7.720425023485264,8.007677947031304,7.065143151674608,8.352234401216041,6.889072868948888,7.52189214035736,7.385481678291027,7.454521339949667,7.249514914617685,7.8876904527351535,7.329006529875014,8.492380469959505
FGR,6.3837464296844635,6.762212828864422,7.382927186249573,5.590844637906415,6.4123850596821335,7.558191213450675,8.292287940600753,8.600768270303032,5.577885770205736,5.756406691805544,6.6187131461518955,7.245093317133857,5.702512807696006,6.553971999732166,5.34816554359596,7.960660431197874,5.803434630850945,5.704634935438743,6.980296726453596,5.513520439227428,7.983627302730109,6.116691498455584,7.699842184604861,6.923292181008566,6.651485996576418,7.036968873701967,6.565273679381926,7.571295021679106,6.020475110344887,6.960028317084665
CFH,9.926579021375018,11.701404864586257,11.608572049149956,10.529736029983999,9.92337946250659,11.865928656066806,11.800801525403333,11.54748877761961,10.33855272778506,10.260264563993642,11.091476033404787,12.804021614121655,11.243353507399297,12.685854650268979,10.34583667277079,10.447642840046438,10.099609409676221,9.33966109782974,11.668958012111098,11.991035644730264,12.733239114699384,11.30860488207854,13.44704804516351,11.293180585413287,10.776344305802201,13.232099682115116,11.43800345187242,11.817656357435848,9.584919993486281,11.050980551329694
FUCA2,8.336307807330565,10.247155231473375,8.830481045653999,10.093422264180521,8.617731853771101,10.316218136281128,8.62603017861976,9.850898543873162,8.197272135530453,9.269464668567311,8.954219597724311,9.98893251788056,8.526453788607565,9.59494136906215,10.40852525369451,10.297819201992986,9.656355876614349,10.37605077556009,8.986221118228762,9.722484028607186,9.928717197757054,11.073282850725398,10.416408605268565,9.85151829925997,8.830252790025927,10.384572547717955,8.816196687587519,9.595439852234193,8.568230387444029,10.28282543599068
GCLC,11.56783816120327,11.326738471820313,11.02216540893515,10.78931371986438,12.722204163955508,11.426552299430261,12.551162093502908,11.58069190546881,11.354256622275704,10.790107440700602,10.46074969884737,11.343694921507462,11.475647011582511,12.025895368751058,10.111567037784777,10.746706129842782,11.135072872954163,10.98298569728007,11.55507933303983,10.03099951209073,10.250661533300715,11.605447897060325,9.565058470911008,10.666472005849496,11.760344901095815,9.83032794838468,10.39635170636438,10.894405541521628,11.20137945828788,10.751152166592952
NFYA,9.553295668069364,9.26631669500748,9.33385069780695,10.509860180702242,9.306805689792947,9.457710065022594,9.367866308938686,9.3163335659104,9.408441863290074,11.047416835929765,9.941708464654667,10.109368635873174,9.402497435792418,9.393884182512561,8.266956646859132,9.631332248386238,9.273334465973978,9.917162260341556,9.333362624860783,10.177805200024078,8.947253752163277,9.235648288980482,8.958823205720355,9.374581349445128,8.933655729570534,10.011338978385323,9.549478174194565,9.275207766547096,9.259994927871022,9.925951836287805
STPG1,7.756057745640175,9.053994680952126,7.722510067746838,7.929097545832753,8.137445280006103,8.880744637727553,7.697609692257491,8.171773758279361,7.806208501364715,8.311202671740826,8.281654702266431,8.2077734852296,7.584519732357425,7.699961744028138,6.393697892825928,8.258567292536176,7.133454857088244,7.970044555117792,7.467983334360801,8.300268033756518,7.434143801864579,8.662251280560147,7.077672270369905,7.56781506235863,7.821142398323593,7.118820576716889,7.711742076689688,7.474682113988477,8.19737907281914,8.045786159384905
