sample_accession,GSM5593747,GSM5593748,GSM5593749,GSM5593750,GSM5593751,GSM5593752,GSM5593753,GSM5593754,GSM5593755,GSM5593756,GSM5593757,GSM5593758,GSM5593759,GSM5593760,GSM5593761,GSM5593762,GSM5593763,GSM5593764,GSM5593765,GSM5593766,GSM5593767,GSM5593768,GSM5593769,GSM5593770,GSM5593771,GSM5593772,GSM5593773,GSM5593774,GSM5593775,GSM5593776
GSM5593747,1.0,0.8269535431864249,0.9483835461229086,0.8074101121994713,0.9121334573924915,0.8286923682967152,0.8865791311669301,0.8482530920196318,0.9609999187366681,0.8292855593983477,0.9200198611356636,0.8435014035476663,0.8892005344860838,0.8399206259791516,0.674702967193856,0.8015427724850702,0.9021748823700071,0.8600589104980464,0.9377332358593525,0.7647684984650411,0.7269745808002065,0.8228675320042739,0.6789553959046698,0.863386661376723,0.9534560870311165,0.7423487931283413,0.9129441535414992,0.8731191843662041,0.9595196971497154,0.8161798154617209
GSM5593748,0.8269535431864249,1.0,0.8373886788609658,0.929570995287021,0.8213975991337663,0.8997361197459668,0.8410198738669102,0.8787871215580086,0.8026449388236463,0.9272235720918129,0.7851411349659521,0.8981789972910804,0.7926635992618735,0.8729294075309011,0.649175567389801,0.9125054543159155,0.796978407551017,0.908223596090969,0.8307448116194629,0.9086925250210571,0.7020698603199002,0.8985860263583029,0.670415266977476,0.8930766705326411,0.8279204532115497,0.8342974181561789,0.8038142938166578,0.8740104880176601,0.7972438406992445,0.9099515033086949
GSM5593749,0.9483835461229086,0.8373886788609658,1.0,0.826644092549705,0.8815748034302571,0.8340219617497888,0.8908987301751957,0.8582978063813944,0.9395830093861269,0.8462970537736658,0.9131808526064613,0.853699602278862,0.8541070851469947,0.8482631478701514,0.6967551419151694,0.8222257385026069,0.9118801102999081,0.8650826065381509,0.9449296103342287,0.7942233303530591,0.7548008191052586,0.838732706592561,0.7420934502478952,0.8904636520414126,0.9498475744561733,0.8002544870178012,0.9220740010206839,0.8925124922127732,0.9337622678616141,0.8382743818360484
GSM5593750,0.8074101121994713,0.929570995287021,0.826644092549705,1.0,0.8230768314983709,0.8991701864807333,0.8297274003841758,0.8673790676740206,0.7883285468431648,0.9404904535608178,0.7684969924020154,0.8797185833524289,0.7992499191420221,0.8595408976437879,0.6708124426689656,0.9266839261522697,0.7903866277303621,0.9106722911687117,0.816122695253848,0.9323953016080302,0.7217130515256224,0.9086116466478411,0.6857899232237648,0.8834011386768751,0.8090255674847564,0.8601704918513671,0.7869742909805046,0.8599215799791805,0.784356234561414,0.9226735664756376
GSM5593751,0.9121334573924915,0.8213975991337663,0.8815748034302571,0.8230768314983709,1.0,0.8608071750078347,0.9347961069281308,0.8737901467846448,0.8710947027063652,0.8353523180153936,0.8495532352290288,0.8520402052110282,0.947339053901843,0.8630122753497034,0.6932722514874593,0.8185612822189553,0.849937357468867,0.846277405322177,0.873600446901496,0.7944996045608886,0.7645394829535832,0.8442528794901059,0.6448449962048287,0.82863713213324,0.88249288058648,0.728001762560107,0.8648996053055378,0.8452390542765721,0.8779890446244204,0.8069969597302906
GSM5593752,0.8286923682967152,0.8997361197459668,0.8340219617497888,0.8991701864807333,0.8608071750078347,1.0,0.8854927929150773,0.9090252016271316,0.7916833385818853,0.8914394618012669,0.7940564942222665,0.9049913488039014,0.8306652474286303,0.8884604579655502,0.675680415219819,0.9064649710180371,0.7882352169248602,0.882617007287222,0.8201533928515892,0.8760100901855377,0.7426468100281913,0.8913183678512911,0.647479845425348,0.8723488855857194,0.8235580625082876,0.7936331750984098,0.8172468710268476,0.8628011171869342,0.7888581717480533,0.881295336072075
GSM5593753,0.8865791311669301,0.8410198738669102,0.8908987301751957,0.8297274003841758,0.9347961069281308,0.8854927929150773,1.0,0.9357937863213411,0.841304673029931,0.8382177183856495,0.8431817065764056,0.8852872869730412,0.9077500059711436,0.8993935175397945,0.7244284430998128,0.8508126209864122,0.8547611376678796,0.8442875393096245,0.8831986375756301,0.8180650509042685,0.8144501019432439,0.8535027563923702,0.696237861142417,0.8618296531439048,0.8767778765797363,0.7675827977415974,0.8949891688445276,0.8767482968077942,0.8445522882955713,0.8171823418720167
GSM5593754,0.8482530920196318,0.8787871215580086,0.8582978063813944,0.8673790676740206,0.8737901467846448,0.9090252016271316,0.9357937863213411,1.0,0.8071766368714571,0.8659631831327361,0.8101520370578904,0.9039434562870574,0.8491903987556858,0.9180689463417244,0.7167462926852789,0.8835117727983314,0.8278393214856287,0.8700276762863454,0.8496631813616801,0.8550460677489483,0.7974908583422289,0.8742533970347506,0.6842182154778671,0.8783107997161512,0.8427709318923157,0.7844144371136821,0.8622787358579184,0.8750830156394862,0.8056558991661286,0.8471049696342412
GSM5593755,0.9609999187366681,0.8026449388236463,0.9395830093861269,0.7883285468431648,0.8710947027063652,0.7916833385818853,0.841304673029931,0.8071766368714571,1.0,0.8184761214941924,0.907966367552009,0.8030787426634055,0.8493375993213281,0.8048916295117607,0.6654274082109228,0.7736856582777566,0.9115846547509684,0.8523458533377515,0.9328539654812686,0.7500685236730833,0.6914454648212768,0.8089382450296653,0.7169544143353213,0.8672388880818335,0.9584153820582736,0.7553779207936311,0.8919998747544643,0.876457832398775,0.9745023573451662,0.8151484079504616
GSM5593756,0.8292855593983477,0.9272235720918129,0.8462970537736658,0.9404904535608178,0.8353523180153936,0.8914394618012669,0.8382177183856495,0.8659631831327361,0.8184761214941924,1.0,0.7855441428817579,0.8760300330135025,0.8069522953026981,0.8609817767786776,0.673556440701395,0.9209944651983178,0.8111312156080411,0.9117112196814912,0.8399304690876181,0.9268844193879875,0.7216297886546231,0.9137058140314944,0.7020350482183677,0.8998445911520231,0.8324664770863491,0.8642779753022644,0.8085853684638578,0.8681441860841149,0.8075138280846045,0.9194029298912731
GSM5593757,0.9200198611356636,0.7851411349659521,0.9131808526064613,0.7684969924020154,0.8495532352290288,0.7940564942222665,0.8431817065764056,0.8101520370578904,0.907966367552009,0.7855441428817579,1.0,0.8538275131049252,0.8371163191996271,0.8016470764896358,0.6599973250416038,0.7797751970079159,0.8637649032717876,0.8239074000593023,0.9204147091299951,0.7307014087713627,0.7312887823777787,0.7907436780540024,0.6967995866666418,0.827725845732655,0.9154165562577802,0.7373535173456941,0.9108874626855527,0.8525877415237058,0.9014988100593414,0.778765021795381
GSM5593758,0.8435014035476663,0.8981789972910804,0.853699602278862,0.8797185833524289,0.8520402052110282,0.9049913488039014,0.8852872869730412,0.9039434562870574,0.8030787426634055,0.8760300330135025,0.8538275131049252,1.0,0.8300599340719743,0.8904312005077304,0.6628155704911283,0.9018358069499631,0.7983903554666844,0.890099536475951,0.8402675150169416,0.8513928431968603,0.7471032659910165,0.8709046337436174,0.6481992645672084,0.88128798416112,0.8381742389073729,0.7801402396289063,0.8459359962564397,0.8860313920369027,0.7962857532874178,0.8555720249245446
GSM5593759,0.8892005344860838,0.7926635992618735,0.8541070851469947,0.7992499191420221,0.947339053901843,0.8306652474286303,0.9077500059711436,0.8491903987556858,0.8493375993213281,0.8069522953026981,0.8371163191996271,0.8300599340719743,1.0,0.8373459412521723,0.6845153950772264,0.802250922329271,0.8287948137607383,0.8209231644658309,0.860189178206233,0.7722456695750608,0.7729245343646667,0.8156060857421141,0.6615613429449736,0.7966674168766908,0.8512895115548959,0.7266361478744481,0.8500349039499342,0.8393654560497025,0.8550931378270953,0.782140510436705
GSM5593760,0.8399206259791516,0.8729294075309011,0.8482631478701514,0.8595408976437879,0.8630122753497034,0.8884604579655502,0.8993935175397945,0.9180689463417244,0.8048916295117607,0.8609817767786776,0.8016470764896358,0.8904312005077304,0.8373459412521723,1.0,0.7104694171190383,0.8626607711254978,0.8276988119802167,0.8517185144693232,0.8438991711994319,0.8597093104273215,0.7621429591538922,0.86307371755832,0.6680650964121717,0.8607689906915019,0.8414623320322696,0.7755227531868095,0.8460154185541926,0.8494289459433234,0.7976712963215428,0.8429029295935319
GSM5593761,0.674702967193856,0.649175567389801,0.6967551419151694,0.6708124426689656,0.6932722514874593,0.675680415219819,0.7244284430998128,0.7167462926852789,0.6654274082109228,0.673556440701395,0.6599973250416038,0.6628155704911283,0.6845153950772264,0.7104694171190383,1.0,0.6820155790784823,0.7929286526747824,0.6627941210141932,0.7021022384946907,0.6882667040417275,0.8701426111758443,0.7053039443173653,0.7877523548562739,0.7147311761744204,0.6861866390663676,0.7003289405474776,0.7606798609689888,0.6880630722977675,0.6596751852694342,0.6776820103403783
GSM5593762,0.8015427724850702,0.9125054543159155,0.8222257385026069,0.9266839261522697,0.8185612822189553,0.9064649710180371,0.8508126209864122,0.8835117727983314,0.7736856582777566,0.9209944651983178,0.7797751970079159,0.9018358069499631,0.802250922329271,0.8626607711254978,0.6820155790784823,1.0,0.7877022133941022,0.9026833245655912,0.8190964262828054,0.9131624084066864,0.750103082099452,0.9061014181140162,0.7055383592840845,0.8845749312789726,0.8017154499197354,0.8505274437779806,0.8091633075543812,0.8794752830975298,0.767627025009604,0.8937411060519391
GSM5593763,0.9021748823700071,0.796978407551017,0.9118801102999081,0.7903866277303621,0.849937357468867,0.7882352169248602,0.8547611376678796,0.8278393214856287,0.9115846547509684,0.8111312156080411,0.8637649032717876,0.7983903554666844,0.8287948137607383,0.8276988119802167,0.7929286526747824,0.7877022133941022,1.0,0.8484607090595382,0.9170032576743147,0.7745819198321021,0.8143132509080618,0.8248498035182293,0.8042332259028144,0.8946884188131594,0.9168407527092388,0.7852897108534718,0.9305490645201894,0.8780751525022888,0.9073042177171151,0.8127050488369946
GSM5593764,0.8600589104980464,0.908223596090969,0.8650826065381509,0.9106722911687117,0.846277405322177,0.882617007287222,0.8442875393096245,0.8700276762863454,0.8523458533377515,0.9117112196814912,0.8239074000593023,0.890099536475951,0.8209231644658309,0.8517185144693232,0.6627941210141932,0.9026833245655912,0.8484607090595382,1.0,0.8591356648899418,0.8727611678961175,0.7079404755670091,0.9038249692420893,0.6935847620078834,0.9262220122713267,0.8706890917722816,0.813924082121017,0.8333408446652809,0.9122340413743187,0.8471248401902635,0.9046621002349657
GSM5593765,0.9377332358593525,0.8307448116194629,0.9449296103342287,0.816122695253848,0.873600446901496,0.8201533928515892,0.8831986375756301,0.8496631813616801,0.9328539654812686,0.8399304690876181,0.9204147091299951,0.8402675150169416,0.860189178206233,0.8438991711994319,0.7021022384946907,0.8190964262828054,0.9170032576743147,0.8591356648899418,1.0,0.7972482543003868,0.7616929437633386,0.8325826577144931,0.767379425144828,0.8812891741122744,0.9498936731990907,0.808335940420628,0.9260998079828667,0.8926139482132066,0.9288714977107552,0.8292018494325188
GSM5593766,0.7647684984650411,0.9086925250210571,0.7942233303530591,0.9323953016080302,0.7944996045608886,0.8760100901855377,0.8180650509042685,0.8550460677489483,0.7500685236730833,0.9268844193879875,0.7307014087713627,0.8513928431968603,0.7722456695750608,0.8597093104273215,0.6882667040417275,0.9131624084066864,0.7745819198321021,0.8727611678961175,0.7972482543003868,1.0,0.7356628313959971,0.9071589418836616,0.7262934320690232,0.8625103223226868,0.7738421090639594,0.8886992253067683,0.7716223397487698,0.8395777536901539,0.7426435218619314,0.915249482548447
GSM5593767,0.7269745808002065,0.7020698603199002,0.7548008191052586,0.7217130515256224,0.7645394829535832,0.7426468100281913,0.8144501019432439,0.7974908583422289,0.6914454648212768,0.7216297886546231,0.7312887823777787,0.7471032659910165,0.7729245343646667,0.7621429591538922,0.8701426111758443,0.750103082099452,0.8143132509080618,0.7079404755670091,0.7616929437633386,0.7356628313959971,1.0,0.7593978094391793,0.8209906012178463,0.7482910470009042,0.7173036394923562,0.7622373562183624,0.8307605971494055,0.7464829656279433,0.6901265004322483,0.704799801817929
GSM5593768,0.8228675320042739,0.8985860263583029,0.838732706592561,0.9086116466478411,0.8442528794901059,0.8913183678512911,0.8535027563923702,0.8742533970347506,0.8089382450296653,0.9137058140314944,0.7907436780540024,0.8709046337436174,0.8156060857421141,0.86307371755832,0.7053039443173653,0.9061014181140162,0.8248498035182293,0.9038249692420893,0.8325826577144931,0.9071589418836616,0.7593978094391793,1.0,0.7226510756785528,0.8991718008561085,0.8323405107896674,0.8464809960545834,0.8147490533098942,0.8799717524970349,0.8071654230210362,0.9142379067636809
GSM5593769,0.6789553959046698,0.670415266977476,0.7420934502478952,0.6857899232237648,0.6448449962048287,0.647479845425348,0.696237861142417,0.6842182154778671,0.7169544143353213,0.7020350482183677,0.6967995866666418,0.6481992645672084,0.6615613429449736,0.6680650964121717,0.7877523548562739,0.7055383592840845,0.8042332259028144,0.6935847620078834,0.767379425144828,0.7262934320690232,0.8209906012178463,0.7226510756785528,1.0,0.7565839331784394,0.7229977700478456,0.8520427386566398,0.7643295094402599,0.7685412195937399,0.7076949677934116,0.7260701825658932
GSM5593770,0.863386661376723,0.8930766705326411,0.8904636520414126,0.8834011386768751,0.82863713213324,0.8723488855857194,0.8618296531439048,0.8783107997161512,0.8672388880818335,0.8998445911520231,0.827725845732655,0.88128798416112,0.7966674168766908,0.8607689906915019,0.7147311761744204,0.8845749312789726,0.8946884188131594,0.9262220122713267,0.8812891741122744,0.8625103223226868,0.7482910470009042,0.8991718008561085,0.7565839331784394,1.0,0.8929104071763804,0.8284599818411195,0.8709550639184492,0.9270300122557411,0.8603922899239858,0.8998282682263
GSM5593771,0.9534560870311165,0.8279204532115497,0.9498475744561733,0.8090255674847564,0.88249288058648,0.8235580625082876,0.8767778765797363,0.8427709318923157,0.9584153820582736,0.8324664770863491,0.9154165562577802,0.8381742389073729,0.8512895115548959,0.8414623320322696,0.6861866390663676,0.8017154499197354,0.9168407527092388,0.8706890917722816,0.9498936731990907,0.7738421090639594,0.7173036394923562,0.8323405107896674,0.7229977700478456,0.8929104071763804,1.0,0.768727446505911,0.9184810906785242,0.9001095076089479,0.9550045803831303,0.8294646429883032
GSM5593772,0.7423487931283413,0.8342974181561789,0.8002544870178012,0.8601704918513671,0.728001762560107,0.7936331750984098,0.7675827977415974,0.7844144371136821,0.7553779207936311,0.8642779753022644,0.7373535173456941,0.7801402396289063,0.7266361478744481,0.7755227531868095,0.7003289405474776,0.8505274437779806,0.7852897108534718,0.813924082121017,0.808335940420628,0.8886992253067683,0.7622373562183624,0.8464809960545834,0.8520427386566398,0.8284599818411195,0.768727446505911,1.0,0.7663162883855661,0.8302580576757689,0.7456291894777537,0.8682899866637203
GSM5593773,0.9129441535414992,0.8038142938166578,0.9220740010206839,0.7869742909805046,0.8648996053055378,0.8172468710268476,0.8949891688445276,0.8622787358579184,0.8919998747544643,0.8085853684638578,0.9108874626855527,0.8459359962564397,0.8500349039499342,0.8460154185541926,0.7606798609689888,0.8091633075543812,0.9305490645201894,0.8333408446652809,0.9260998079828667,0.7716223397487698,0.8307605971494055,0.8147490533098942,0.7643295094402599,0.8709550639184492,0.9184810906785242,0.7663162883855661,1.0,0.8820025754512723,0.8856759241020893,0.7904120483308142
GSM5593774,0.8731191843662041,0.8740104880176601,0.8925124922127732,0.8599215799791805,0.8452390542765721,0.8628011171869342,0.8767482968077942,0.8750830156394862,0.876457832398775,0.8681441860841149,0.8525877415237058,0.8860313920369027,0.8393654560497025,0.8494289459433234,0.6880630722977675,0.8794752830975298,0.8780751525022888,0.9122340413743187,0.8926139482132066,0.8395777536901539,0.7464829656279433,0.8799717524970349,0.7685412195937399,0.9270300122557411,0.9001095076089479,0.8302580576757689,0.8820025754512723,1.0,0.8732600351817915,0.8741761608356998
