gene,stat
PTHLH,15.777141525894232
MMP12,14.452542051425
WDR66,13.804784602872042
SH2D5,13.796004951760855
GREM1,13.779904011665247
MMP3,13.562960656824481
PLAU,13.507035128982517
MMP11,13.256951697283643
LAMC2,12.231830076400186
SERPINE1,12.210996517315612
EN1,12.009798964066135
ADAM12,11.849867247967603
INHBA,11.792665091062824
MMP9,11.74439282415523
CCN4,11.643436731389775
AIM2,11.604865998154377
HMGA2,11.602202746149796
IL24,11.52759809912981
MMP10,11.506550620862985
STC2,11.459993782933589
CNGB1,11.406064183777136
PGF,11.396637810980769
TNC,11.355654459234028
RAB31,11.306353480102787
LOXL2,11.159535923414108
PLAUR,10.991063382770678
CYP27C1,10.954705241718129
DNAH17,10.95323742001099
GPRIN1,10.948949310234555
TNFRSF12A,10.887866119816643
AC061975.8,10.873644917171045
CDH3,10.834661475164259
DNAJB11,10.816934864342006
FAP,10.778075044277935
COL4A1,10.708475746614294
GPR39,10.700127592390547
MYO1B,10.669356028458123
SPOCD1,10.661263040420828
COL10A1,10.661221940193853
ARTN,10.576633724572796
COL5A2,10.53799373886577
HOXD11,10.524834756557032
CGAS,10.479906275018482
HTR7,10.472734578207579
THBS2,10.453034660393234
GSDME,10.43209086288846
IL11,10.421083525233218
LCAL1,10.385349313925087
AC008875.3,10.361864868391336
HOXD10,10.351029503013457
CHST11,10.320218351317015
SEMA3C,10.31159371230258
TMEM184B,10.308106668393858
TGFB1,10.284221918024029
FSCN1,10.254723330629018
COL12A1,10.188762488184937
ADAMTS14,10.121598652822875
GPR176,10.072295807490622
CTHRC1,10.066401363276114
TMC7,10.038452492645412
DCBLD1,10.00781740322651
COL1A1,9.999482178575363
ITGA6,9.979132669998384
LUM,9.949499374439695
ADAMTS7,9.925766932302162
TNFRSF9,9.924995916962907
COL3A1,9.922311362238574
STK3,9.906169034237763
CEBPB,9.903168793138523
TPBG,9.895035071907703
HAPLN3,9.885497608935268
MYOSLID,9.878881789052741
PXDN,9.878055548038079
ADAMTS2,9.82105599581658
NMB,9.799458725886813
CREG2,9.783049331334233
SDK2,9.751314530034467
PTK7,9.68336806943753
ADAMTS12,9.615167068644624
P4HA3,9.607329016024428
LINC01615,9.579528977095077
ITGA3,9.550663431800864
HOXA1,9.53648838192666
XPR1,9.531862385844631
MFAP2,9.516921101698262
MSN,9.493709352958414
SLC52A2,9.492873197898543
MTHFD1L,9.489860674897097
TNFAIP6,9.474079064897726
CCM2,9.453917117703686
ITGA5,9.443607834340282
IQCJ-SCHIP1,9.442917089235083
TGFBI,9.420356408874788
IFI30,9.41471559111243
LTBP1,9.37870896220226
ECT2,9.376992202823153
CALR,9.362028214041953
LIMK1,9.35252546035372
FN1,9.344732346192025
NRIP3,9.341102840689523
COL4A2,9.338584108148023
TUBB3,9.316153634428586
PDPN,9.294913881228005
WDR54,9.251894012518111
COL5A1,9.19595240597638
S100A7A,9.19080416378203
ZFPM2-AS1,9.188168079439862
TRIP13,9.18770832539088
PPP4R4,9.183843633308735
WNT7A,9.167601897538951
ARSJ,9.161047730316234
MMP14,9.152351288516265
UBASH3B,9.145867869046976
PMEPA1,9.135555574177426
CTSC,9.129084960591479
OASL,9.081632125086688
COL6A3,9.062802727373793
AC134312.5,9.05468283951734
COL22A1,9.009900002207866
SLC38A7,8.974173744389313
RGS4,8.968903138182576
COL1A2,8.968563716904717
ISG15,8.939039525208482
NCF2,8.931909929036284
BMP8A,8.882305448665624
PARP12,8.881558684931333
CA9,8.875327388736334
PHLDB2,8.863834363933002
IER5L,8.851025748472084
SHC1,8.842879217135058
ZNFX1,8.840835101118076
SIRPA,8.820516234640372
CBX3,8.798530375850602
MDFI,8.794907581873675
NETO2,8.790222586484743
CD276,8.761282559305977
F2RL3,8.71741847826861
HMGB3,8.711123615767164
RNF144A-AS1,8.704452876270482
MYO3B,8.703818975166824
PRIM2,8.69934163043484
HTRA3,8.692199793354249
SERPINH1,8.677946626703827
CXCL13,8.676200588658801
FBLIM1,8.672431093535256
ZNF114,8.653372174279399
CXCL11,8.646290773592936
U62317.1,8.625400569572836
USB1,8.604151223808898
TAF2,8.596481006443259
GJC1,8.58119639454109
ADA,8.571741455193726
HOXC13-AS,8.527414426764512
CHST2,8.527200057916977
CENPI,8.523773692823438
MICAL2,8.515069199337123
MIR4435-2HG,8.491895712876218
MMP2,8.47229091201092
PLA2G7,8.47066477779696
SOCS1,8.468039111089062
AL353807.5,8.455608683310196
TMSB10,8.42563583883214
C16orf74,8.425546259577926
SCG5,8.420803495650631
ACLY,8.41831454195593
NID1,8.393922069194366
SHISAL1,8.383744055768695
NAV1,8.368050395780985
BAALC,8.354581729692448
CALHM5,8.339917489040946
COTL1,8.336530480600103
SPARC,8.30038239499261
AP005230.1,8.297570302818775
PNO1,8.287591085666023
SEPT9,8.270186890491257
FST,8.268676830504585
RGS3,8.267894088059133
SKIL,8.262024509805231
