gene,_genewise_converged,_MAP_converged,_LFC_converged,dispersions,model_converged
TSPAN6,True,True,True,0.3398429942997773,True
DPM1,True,True,True,0.05145203429260261,True
SCYL3,True,True,True,0.05435784511813559,True
C1orf112,True,True,True,0.07107440267900407,True
FGR,True,True,True,0.294060583724075,True
CFH,True,True,True,0.36737472956598455,True
FUCA2,True,True,True,0.1121640020241197,True
GCLC,True,True,True,0.21837310565587467,True
NFYA,True,True,True,0.09599016174024742,True
STPG1,True,True,True,0.10900819093000247,True
NIPAL3,True,True,True,0.13135581940790883,True
LAS1L,True,True,True,0.06306129387744859,True
ENPP4,True,True,True,0.7809079022397926,True
SEMA3F,True,True,True,0.3684003774464707,True
CFTR,True,True,True,1.7071916161062006,True
ANKIB1,True,True,True,0.035101702682972566,True
CYP51A1,True,True,True,0.17609937745534143,True
KRIT1,True,True,True,0.03749085861221077,True
RAD52,True,True,True,0.048372056280137334,True
BAD,True,True,True,0.11854072216315437,True
LAP3,True,True,True,0.174343065419387,True
CD99,True,True,True,0.10007517010589843,True
HS3ST1,True,True,True,0.6815709036125495,True
AOC1,True,True,True,0.9245147098428861,True
HECW1,True,True,True,0.4090591701722865,True
MAD1L1,True,True,True,0.11132795072332065,True
LASP1,True,True,True,0.10975276823898031,True
SNX11,True,True,True,0.1111231386346563,True
TMEM176A,True,True,True,0.3448163356872158,True
M6PR,True,True,True,0.044353166050014194,True
KLHL13,True,True,True,0.10512892930951077,True
CYP26B1,True,True,True,0.45130175950510437,True
ICA1,True,True,True,0.46925609755982073,True
DBNDD1,True,True,True,0.5180073941043438,True
ALS2,True,True,True,0.06639869457373815,True
CASP10,True,True,True,0.17594513777384876,True
CFLAR,True,True,True,0.08186138013525358,True
TFPI,True,True,True,0.34385451350564844,True
NDUFAF7,True,True,True,0.05225852106062488,True
RBM5,True,True,True,0.05612657591427721,True
SLC7A2,True,True,True,0.40820042033618265,True
ARF5,True,True,True,0.13321352579867973,True
SARM1,True,True,True,0.19508244566603294,True
POLDIP2,True,True,True,0.1250766221446007,True
PLXND1,True,True,True,0.2821771054906182,True
AK2,True,True,True,0.08476639661996052,True
CD38,True,True,True,0.8037224542446826,True
FKBP4,True,True,True,0.09146151789835803,True
KDM1A,True,True,True,0.057052867914472505,True
RBM6,True,True,True,0.10547010015040334,True
CAMKK1,True,True,True,0.24693950492217306,True
RECQL,True,True,True,0.11000078270110496,True
VPS50,True,True,True,0.03642373407976198,True
HSPB6,True,True,True,0.7072077709205876,True
ARHGAP33,True,True,True,0.14608500586080272,True
NDUFAB1,True,True,True,0.16094759176097365,True
PDK4,True,True,True,0.6526516429329968,True
SLC25A13,True,True,True,0.07947169528469142,True
ST7,True,True,True,0.115872928052208,True
CDC27,True,True,True,0.04188219315719953,True
HCCS,True,True,True,0.06223841187638822,True
DVL2,True,True,True,0.07438649098690507,True
PRSS22,True,True,True,0.8488660483099478,True
UPF1,True,True,True,0.06910009870951732,True
SKAP2,True,True,True,0.2195683196587438,True
SLC25A5,True,True,True,0.23683121769994206,True
MCUB,True,True,True,0.2849870219703803,True
POLR2J,True,True,True,0.1022928559934002,True
DHX33,True,True,True,0.08898868999344307,True
MEOX1,True,True,True,0.6719353166774055,True
THSD7A,True,True,True,0.47635533607676567,True
LIG3,True,True,True,0.06032761825533344,True
RPAP3,True,True,True,0.02869987800809175,True
ACSM3,True,True,True,0.388362092311202,True
REXO5,True,True,True,0.11607048356667761,True
CIAPIN1,True,True,True,0.1009556561190295,True
SPPL2B,True,True,True,0.08354887655082636,True
FAM214B,True,True,True,0.2157057480861567,True
COPZ2,True,True,True,0.19240480673415242,True
PRKAR2B,True,True,True,0.5675548428412359,True
MSL3,True,True,True,0.05599290000503668,True
CREBBP,True,True,True,0.07248205217986835,True
TSPOAP1,True,True,True,0.18824817697345902,True
GCFC2,True,True,True,0.05051314349128693,True
WDR54,True,True,True,0.16209623660245018,True
CROT,True,True,True,0.2319744232752096,True
ABCB4,True,True,True,0.40078790536841674,True
KMT2E,True,True,True,0.051444519101897776,True
RHBDD2,True,True,True,0.17135627695687022,True
SOX8,True,True,True,0.7999038427321052,True
IBTK,True,True,True,0.05201342699321847,True
ZNF195,True,True,True,0.06954567480391403,True
MYCBP2,True,True,True,0.23926288834802129,True
FBXL3,True,True,True,0.05352031720607148,True
ITGAL,True,True,True,0.3369872539532672,True
PDK2,True,True,True,0.1459146803871392,True
ITGA3,True,True,True,0.21567989799876597,True
ZFX,True,True,True,0.059591384051782936,True
LAMP2,True,True,True,0.16622565582961668,True
ASB4,True,True,True,1.2944478702236506,True
GDE1,True,True,True,0.11765168526591653,True
REX1BD,True,True,True,0.1044560296319923,True
CRLF1,True,True,True,0.5677651913007394,True
AC003665.1,True,True,True,0.5271090989275649,True
TMEM98,True,True,True,0.14634903600145596,True
MAP3K14,True,True,True,0.07464936295072053,True
TMEM132A,True,True,True,0.3597372296883334,True
AP2B1,True,True,True,0.16224685126248348,True
ZNF263,True,True,True,0.018139656878778984,True
