gene,in_library
AC010327.6,False
AC010336.1,False
AC010343.1,False
AC010359.2,False
AC010378.2,False
AC010422.3,False
AC010422.5,False
AC010422.8,False
AC010442.1,False
AC010468.1,False
AC010487.1,False
AC010503.4,False
AC010522.1,False
AC010538.1,False
AC010547.4,False
AC010605.1,False
AC010615.1,False
AC010618.1,False
AC010618.4,False
AC010623.1,False
AC010642.2,False
AC010654.1,False
AC010655.4,False
AC010680.2,False
AC010733.2,False
AC010735.2,False
AC010761.1,False
AC010889.1,False
AC010969.2,False
AC010980.1,False
AC010997.6,False
AC011330.1,False
AC011330.2,False
AC011346.1,False
AC011369.2,False
AC011374.1,False
AC011374.2,False
AC011379.2,False
AC011462.5,False
AC011468.1,False
AC011468.2,False
AC011477.2,False
AC011497.2,False
AC011498.7,False
AC011503.2,False
AC011603.2,False
AC011815.1,False
AC011912.1,False
AC011933.2,False
AC011939.1,False
AC011978.2,False
AC012020.1,False
AC012063.1,False
AC012073.1,False
AC012085.1,False
AC012146.1,False
AC012181.1,False
AC012181.2,False
AC012184.2,False
AC012184.3,False
AC012254.2,False
AC012306.2,False
AC012306.3,False
AC012313.1,False
AC012313.5,False
AC012313.8,False
AC012358.3,False
AC012360.3,False
AC012368.1,False
AC012467.2,False
AC012510.1,False
AC012513.3,False
AC012615.1,False
AC012618.3,False
AC012640.2,False
AC012645.1,False
AC012651.1,False
AC012676.1,False
AC012676.5,False
AC013394.1,False
AC013489.1,False
AC013652.1,False
AC015660.1,False
AC015712.2,False
AC015799.1,False
AC015802.6,False
AC015813.1,False
AC015813.2,False
AC015813.5,False
AC015813.6,False
AC015871.3,False
AC015871.6,False
AC015883.1,False
AC015909.5,False
AC015911.10,False
AC015911.11,False
AC015922.3,False
AC015982.1,False
AC016026.1,False
AC016027.1,False
AC016065.1,False
AC016355.1,False
AC016394.1,False
AC016394.2,False
AC016582.3,False
AC016586.1,False
AC016588.2,False
AC016629.3,False
AC016727.1,False
AC016745.1,False
AC016745.2,False
AC016747.1,False
AC016831.1,False
AC016831.5,False
AC016831.7,False
AC016876.1,False
AC016876.2,False
AC016949.1,False
AC016957.2,False
AC017071.1,False
AC017083.3,False
AC017100.1,False
AC017116.1,False
AC017116.2,False
AC018413.1,False
AC018521.5,False
AC018529.3,False
AC018553.1,False
AC018628.1,False
AC018629.1,False
AC018630.2,False
AC018638.2,False
AC018638.4,False
AC018638.5,False
AC018645.2,False
AC018647.2,False
AC018647.3,False
AC018809.2,False
AC018816.1,False
AC019069.1,False
AC019080.1,False
AC019131.2,False
AC019205.1,False
AC019257.8,False
AC020658.7,False
AC020763.4,False
AC020909.1,False
AC020909.3,False
AC020910.4,False
AC020910.5,False
AC020915.1,False
AC020915.3,False
AC020915.5,False
AC020916.1,False
AC020951.1,False
AC020978.5,False
AC020978.7,False
AC021016.2,False
AC021054.1,False
AC021078.1,False
AC021092.1,False
AC021106.1,False
AC021321.2,False
AC021851.1,False
AC022007.1,False
AC022034.1,False
AC022075.1,False
AC022098.1,False
AC022107.1,False
AC022137.3,False
AC022149.1,False
AC022150.4,False
AC022167.2,False
AC022211.2,False
AC022306.2,False
AC022336.3,False
AC022364.1,False
AC022384.1,False
AC022400.3,False
AC022400.5,False
AC022400.6,False
AC022400.7,False
AC022400.8,False
AC022400.9,False
AC022415.1,False
AC022415.2,False
AC022498.2,False
AC022613.2,False
AC022613.3,False
AC022826.2,False
AC022893.1,False
AC022916.1,False
AC022966.1,False
AC022968.1,False
AC023024.2,False
AC023090.2,False
AC023157.3,False
AC023355.1,False
AC023509.1,False
AC023509.3,False
AC023632.2,False
AC024060.1,False
AC024075.1,False
AC024075.2,False
AC024257.3,False
AC024293.1,False
AC024451.4,False
AC024560.4,False
AC024909.1,False
AC024940.2,False
AC025031.4,False
AC025031.5,False
AC025159.1,False
AC025164.1,False
AC025165.5,False
AC025171.1,False
AC025171.2,False
AC025181.2,False
AC025279.1,False
AC025423.2,False
AC025442.2,False
AC025449.1,False
AC025569.1,False
AC025580.2,False
AC025678.3,False
AC026124.1,False
AC026124.2,False
AC026150.1,False
AC026250.1,False
AC026271.1,False
AC026273.1,False
AC026304.1,False
AC026356.1,False
AC026356.2,False
AC026362.1,False
AC026362.2,False
AC026401.3,False
AC026403.1,False
AC026412.1,False
AC026464.3,False
AC026464.4,False
AC026464.6,False
AC026470.1,False
AC026471.1,False
AC026691.1,False
AC026740.3,False
AC026748.3,False
AC026801.2,False
AC026979.4,False
AC027020.2,False
AC027031.2,False
AC027097.1,False
AC027097.2,False
AC027117.1,False
AC027237.1,False
AC027279.1,False
AC027279.4,False
AC027290.2,False
AC027307.2,False
AC027373.1,False
AC027514.1,False
AC027601.6,False
AC027644.3,False
AC027644.4,False
AC027796.3,False
AC034102.1,False
AC034102.3,False
AC034231.1,False
AC034236.2,False
AC036176.1,False
AC036176.2,False
AC036176.3,False
AC036214.2,False
AC037198.1,False
AC037459.2,False
AC040162.1,False
AC040162.3,False
AC040970.1,False
AC044860.1,False
AC046134.2,False
AC046185.3,False
AC048341.1,False
AC048341.2,False
AC048380.2,False
AC048382.2,False
AC048382.5,False
AC048382.6,False
AC051619.7,False
AC051619.8,False
AC053503.6,False
AC055713.1,False
AC055811.4,False
AC055839.2,False
AC058822.1,False
AC060766.1,False
AC060766.7,False
AC060780.1,False
AC061975.8,False
AC064801.2,False
AC064807.1,False
AC064836.3,False
AC066615.1,False
AC067750.1,False
AC067838.1,False
AC067852.2,False
AC067852.3,False
AC067930.5,False
AC067968.1,False
AC068134.3,False
AC068205.2,False
AC068338.2,False
AC068473.5,False
AC068491.4,False
AC068533.4,False
AC068547.1,False
AC068580.4,False
AC068587.4,False
AC068631.2,False
AC068700.1,False
AC068831.7,False
AC068870.2,False
AC068888.1,False
AC068896.1,False
AC068946.1,False
AC068946.2,False
AC069224.1,False
AC069243.1,False
AC069281.2,False
AC069288.1,False
AC069360.1,False
AC069544.1,False
AC072061.1,False
AC073046.1,False
AC073052.1,False
AC073073.2,False
AC073111.4,False
AC073140.1,False
AC073210.3,False
AC073332.1,False
AC073508.3,False
AC073529.1,False
AC073548.1,False
AC073569.3,False
AC073857.1,False
AC073869.1,False
AC073896.1,False
AC073896.2,False
AC074117.1,False
AC074141.1,False
AC074143.1,False
AC074143.2,False
AC074194.1,False
AC074194.2,False
AC074386.1,False
AC074387.1,False
AC078795.2,False
AC078819.1,False
AC078846.1,False
AC078881.1,False
AC078883.1,False
AC078923.1,False
AC079142.1,False
AC079174.2,False
AC079298.3,False
AC079305.3,False
AC079414.3,False
AC079416.1,False
AC079594.2,False
AC079610.2,False
AC079781.5,False
AC079804.3,False
AC079834.2,False
AC079848.1,False
AC079915.1,False
AC079922.2,False
AC080013.1,False
AC080038.1,False
AC080038.2,False
AC080112.1,False
AC080188.2,False
AC083798.2,False
AC083799.1,False
AC083837.1,False
AC083843.3,False
AC083855.2,False
AC083862.2,False
AC083899.1,False
AC083964.2,False
AC083973.1,False
AC084032.1,False
AC084036.1,False
AC084082.1,False
AC084125.2,False
AC084198.2,False
AC084783.1,False
AC084809.1,False
AC084824.1,False
AC084824.4,False
AC084859.1,False
AC084880.1,False
AC087284.1,False
AC087289.1,False
AC087289.4,False
AC087294.1,False
AC087477.2,False
AC087500.1,False
AC087501.4,False
AC087632.1,False
AC087651.1,False
AC087741.1,False
AC087741.3,False
AC087854.1,False
AC090004.2,False
AC090114.2,False
AC090114.3,False
AC090152.1,False
AC090181.3,False
AC090198.1,False
AC090204.1,False
AC090220.1,False
AC090229.1,False
AC090515.2,False
AC090517.4,False
AC090517.5,False
AC090559.1,False
AC090587.2,False
AC090739.1,False
AC090825.1,False
AC090994.1,False
AC091021.1,False
AC091057.1,False
AC091057.2,False
AC091057.3,False
AC091057.6,False
AC091132.3,False
AC091132.4,False
AC091132.5,False
AC091152.2,False
AC091181.1,False
AC091182.2,False
AC091196.1,False
AC091271.1,False
AC091390.4,False
AC091563.1,False
AC091729.3,False
AC091825.1,False
AC091959.3,False
AC091978.1,False
AC091982.3,False
AC092070.2,False
AC092072.1,False
AC092111.1,False
AC092117.1,False
AC092117.2,False
AC092135.1,False
AC092135.3,False
AC092139.1,False
AC092139.3,False
AC092153.1,False
AC092161.1,False
AC092164.1,False
AC092171.3,False
AC092171.5,False
AC092279.1,False
AC092279.2,False
AC092295.2,False
AC092299.1,False
AC092329.4,False
AC092338.1,False
AC092368.3,False
AC092376.2,False
AC092384.2,False
AC092428.1,False
AC092490.1,False
AC092611.1,False
AC092645.1,False
AC092647.5,False
AC092653.2,False
AC092683.1,False
AC092718.3,False
AC092718.4,False
AC092718.7,False
AC092724.1,False
AC092745.4,False
AC092747.4,False
AC092807.3,False
AC092821.1,False
AC092821.3,False
AC092828.1,False
AC092835.1,False
AC092881.1,False
AC092910.3,False
AC092944.1,False
AC093010.3,False
AC093155.3,False
AC093157.1,False
AC093227.1,False
AC093297.2,False
AC093323.1,False
AC093330.2,False
AC093484.3,False
AC093512.2,False
AC093525.6,False
AC093525.7,False
AC093525.8,False
AC093535.2,False
AC093599.2,False
AC093627.4,False
AC093627.5,False
AC093668.2,False
AC093673.1,False
AC093752.1,False
AC093788.1,False
