gene,discovery_log2FoldChange,discovery_lfcSE,discovery_pvalue,discovery_padj,discovery_test_status,validation_log2FoldChange,validation_lfcSE,validation_pvalue,validation_padj,validation_test_status,discovery_candidate,mapping_status,testable,same_direction,replicated,replicated_large_effect,validation_outcome,lfc_difference
ABCA7,-1.1831708055133607,0.4210803240771583,0.0049565231845297,0.0412624663840483,tested,-1.5771868149642188,0.24425999486462188,1.0679881646742943e-10,1.9940992405267944e-09,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.394016009450858
ABCA8,-3.9921811355564496,0.4388237014676428,9.246887503289508e-20,3.598066670724429e-17,tested,-3.261019104776984,0.40199210416140396,4.973301918323314e-16,3.029810213039971e-14,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.7311620307794655
ABCA9,-3.34378085359957,0.5464709245511464,9.42452413923135e-10,4.8536299317041466e-08,tested,-1.4125079004920988,0.3591650505102866,8.397805944128215e-05,0.0003626048285019077,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.931272953107471
ABCB10,-0.1349501421984704,0.4493339230561782,0.7639225918603703,0.9224860151595068,tested,-0.3055877621768433,0.1462076470837364,0.036609334286170296,0.06927558751278912,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.1706376199783729
ABCB6,0.2211282113114075,0.4648699669963904,0.634304110610266,0.8582097857142891,tested,-0.3777306464682319,0.24561385255627433,0.12407196949829044,0.1925310489041541,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.5988588577796394
ABCB7,-0.2913224266188617,0.4925200820786043,0.5541898098178977,0.8185289548052083,tested,-0.09381401469643039,0.1146021399623284,0.4130111664001276,0.5111183971508906,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.19750841192243132
ABCB8,-0.2425075555218222,0.4324419567990424,0.5749431789589685,0.8314319391800308,tested,0.3054113184731566,0.12255693636980887,0.012702769188632201,0.0281181088810869,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,0.5479188739949789
ABCB9,0.5891184028701553,0.5531294535432594,0.2868468588161729,0.6164068518557398,tested,0.07708712565642864,0.22095349004954376,0.7271764375008565,0.7900723969438364,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.5120312772137267
ABCC1,0.85184843892985,0.4335032042195103,0.0494103282511024,0.2260909880688514,tested,0.2954901080916085,0.2833820385592886,0.2970747407972876,0.3929734788225569,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.5563583308382414
ABCC10,0.0682308362648462,0.4051052777554912,0.8662470391475419,0.962055186682388,tested,0.4707068292470484,0.15400671803251173,0.0022400881189791827,0.006375250785041201,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.40247599298220216
ABCC3,0.2566104459453422,0.4002871840400631,0.5214798972246719,0.7995720665852893,tested,-0.26690772661296525,0.31440411623990344,0.39591911125914525,0.49469103569758804,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.5235181725583075
ABCC4,0.3075814358209361,0.5205706420767757,0.5546180055052589,0.8188331598985736,tested,0.6361625889167767,0.12286728144736356,2.2470993702538922e-07,1.9164225398486373e-06,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.3285811530958406
ABCC5,0.1709920062204011,0.3937033892211282,0.6640583872440018,0.8725195146369741,tested,0.2396472896231515,0.19763999948827535,0.22530402829348728,0.3146852038371477,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.0686552834027504
ABCC9,-3.8242866349699214,0.4597791976998562,8.971760698720184e-17,1.7137694163773502e-14,tested,-0.4029948428769604,0.39369991940893373,0.30601991804957607,0.4026874704891215,tested,True,matched_exact_symbol,True,True,False,False,not_significant,3.421291792092961
ABCD1,0.1369380045895667,0.5162507692126244,0.7908131669948328,0.932700558706206,tested,1.1638107574579952,0.2158932201256935,7.019248464714763e-08,6.747096666405951e-07,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,1.0268727528684285
ABCD3,-0.4089219726315136,0.4481600518581937,0.3615338358513544,0.6847298847295685,tested,-0.7828211250480029,0.19622532440207052,6.624089946316843e-05,0.0002939100311751321,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.37389915241648936
ABCD4,-0.0467687109652942,0.4341828607035499,0.9142204840030628,0.9764945511321856,tested,0.08331971937682113,0.1441264135194907,0.5631954841818478,0.6506400487117976,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,0.1300884303421153
ABCE1,0.3925429567205505,0.4151711760242986,0.3444053795366373,0.6691923279844483,tested,0.4600404279515834,0.14241138763311037,0.0012363328974098777,0.0038167662087108816,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.06749747123103289
ABCF1,0.209475515354718,0.3838275353099223,0.5852348633409177,0.8364804240996816,tested,0.5740652159357552,0.11635874745143295,,,optimizer_not_converged,False,matched_exact_symbol,False,False,False,False,not_a_discovery_candidate,0.36458970058103723
ABCF2,-0.1118091251077848,0.4954930394561651,0.8214718898824166,0.9449328844333972,tested,0.7557950294959536,0.12420028251838675,1.1627893606680488e-09,1.6902109192121068e-08,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,0.8676041546037384
ABCG1,0.3612413926268993,0.4325497727313207,0.4036365765692711,0.7225287648295565,tested,0.9076991060087033,0.2550526580355766,0.00037245463557195854,0.0013401159534286353,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.546457713381804
ABHD10,0.4105129997496441,0.5130877449560558,0.4236624643768553,0.7382104732093946,tested,-0.009481772873710931,0.2305372681973243,0.9671930362398762,0.9753895873944514,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.41999477262335505
