library,Term,discovery_NES,discovery_pvalue,discovery_padj,validation_NES,validation_pvalue,validation_padj,testable,same_direction,discovery_significant,replicated
MSigDB_Hallmark_2020,Adipogenesis,-1.772629929520787,0.0,0.0039405169582961,-1.5449875684281944,0.0,0.012785741960480435,True,True,True,True
MSigDB_Hallmark_2020,Allograft Rejection,-1.238678041773935,0.140893470790378,0.3228835713706943,2.300990927406291,0.0,0.0,True,False,False,False
MSigDB_Hallmark_2020,Androgen Response,-0.7392587211504678,0.89179548156956,0.9363349369916898,0.9715458593226436,0.5138632162661737,0.5569449659785038,True,False,False,False
MSigDB_Hallmark_2020,Angiogenesis,1.223169850420002,0.1910112359550561,0.1735663017472631,2.6311859771373256,0.0,0.0,True,True,False,False
MSigDB_Hallmark_2020,Apical Junction,-1.2096429052604647,0.1297297297297297,0.2745226814279683,2.15127718194304,0.0,0.0,True,False,False,False
MSigDB_Hallmark_2020,Apical Surface,-1.0347397013093331,0.4220183486238532,0.6124047276327517,1.308430504087838,0.12941176470588237,0.07591174529652733,True,False,False,False
MSigDB_Hallmark_2020,Apoptosis,-1.146048656971912,0.2314410480349345,0.3883340829881702,1.8123966296537417,0.0,0.0005890415288644715,True,False,False,False
MSigDB_Hallmark_2020,Bile Acid Metabolism,-1.3302230441608165,0.0806845965770171,0.2912698785007271,-1.6073827971530914,0.004319654427645789,0.013366912049593182,True,True,False,False
MSigDB_Hallmark_2020,Cholesterol Homeostasis,1.5369011150416925,0.0112994350282485,0.0280395852968897,1.336055019237711,0.07115384615384615,0.06476090865915676,True,True,True,False
MSigDB_Hallmark_2020,Coagulation,-1.3251330959697722,0.0739436619718309,0.2602617629122297,2.1322351782911446,0.0,0.0,True,False,False,False
MSigDB_Hallmark_2020,Complement,-1.2369602305266956,0.1137855579868709,0.2768465760443993,2.2990388510941453,0.0,0.0,True,False,False,False
MSigDB_Hallmark_2020,DNA Repair,1.0150215651988534,0.3982300884955752,0.5461533930254477,1.9734643959909408,0.0,0.0001458579023854882,True,True,False,False
MSigDB_Hallmark_2020,E2F Targets,2.6050061290224336,0.0,0.0,2.9735716049665553,0.0,0.0,True,True,True,True
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,-1.2170883618279782,0.1397058823529411,0.2975559412675329,3.3645249247496305,0.0,0.0,True,False,False,False
MSigDB_Hallmark_2020,Estrogen Response Early,-1.2097275861370635,0.1428571428571428,0.2927804100014073,-1.1192038459057456,0.20417633410672853,0.2862677810372502,True,True,False,False
MSigDB_Hallmark_2020,Estrogen Response Late,1.510005539943835,0.0,0.0315216253010786,1.1002808113156728,0.22621184919210055,0.29298598400425,True,True,True,False
MSigDB_Hallmark_2020,Fatty Acid Metabolism,-1.307425362608207,0.0775193798449612,0.2613876249003143,-1.6410231008365668,0.0,0.02053467648198373,True,True,False,False
