gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
MUC20,138.56877584616598,-2.1271080054585165,0.49273946492946213,-4.316902048353325,1.5823433323776442e-05,0.00031908059596851305,1.5823433323776442e-05,True,tested,NM_152673,5,down
CYP1B1,523.4385728355902,-2.601603666659029,0.6028530375982697,-4.315485706141023,1.5925235708285136e-05,0.0003205182497150261,1.5925235708285136e-05,True,tested,NM_000104,3,down
SPNS2,652.6135028965001,-2.0575167775662693,0.4772364530767773,-4.311315207171021,1.622863687127733e-05,0.0003260001127526571,1.622863687127733e-05,True,tested,NM_001124758,13,down
SIM2,404.0248931374201,-2.506411900453497,0.5815965024472435,-4.309537436877646,1.635963642499354e-05,0.0003280044661850804,1.635963642499354e-05,True,tested,NM_005069,11,down
CYR61,1164.4373082272334,-1.6648887505720105,0.3865169041153435,-4.307415103571197,1.6517345922242512e-05,0.000330535688112533,1.6517345922242512e-05,True,tested,NM_001554,5,down
FSTL1,3398.8761225227317,-1.682941347203209,0.3911110500828871,-4.302975706890787,1.6851933395593454e-05,0.00033595144640247593,1.6851933395593454e-05,True,tested,NM_007085,11,down
PKIG,148.91798751279853,-2.225600888342928,0.5185464989445885,-4.291998678754466,1.770720027277146e-05,0.0003516670057953439,1.770720027277146e-05,True,tested,NM_181805,6,down
FLI1,204.77327180491832,-1.9705061614113448,0.4593620625280714,-4.289658032635049,1.7894844207260286e-05,0.0003547230815876916,1.7894844207260286e-05,True,tested,NM_002017,9,down
ENPP4,87.88834162128553,-3.018885549374957,0.7056273101924602,-4.278300323369789,1.8832582041717817e-05,0.0003726084876276599,1.8832582041717817e-05,True,tested,NM_014936,4,down
STBD1,187.0236520075821,-2.659706330613129,0.622250893635502,-4.2743310741970815,1.9171198991569136e-05,0.0003778848341565204,1.9171198991569136e-05,True,tested,NM_003943,2,down
LPAR1,206.6758004029807,-2.175528230381543,0.5090546533458472,-4.273663379919069,1.9228726802530306e-05,0.0003783089958565232,1.9228726802530306e-05,True,tested,NM_057159,5,down
PCDH10,39.94875638771813,-3.9587750196098312,0.9269496072934305,-4.270755377057581,1.9481200062218947e-05,0.0003825597903806958,1.9481200062218947e-05,True,tested,NM_032961,5,down
FAM63A,361.19344860938446,-1.8424838108087167,0.4314706567923296,-4.270241282469225,1.9526160970009985e-05,0.00038272732677411365,1.9526160970009985e-05,True,tested,NM_018379,11,down
SLC25A4,357.72248909582913,-1.905657364251309,0.4463970715317452,-4.268973713721573,1.96374406819139e-05,0.00038419171658135457,1.96374406819139e-05,True,tested,NM_001151,4,down
KANK3,96.60237951498756,-2.5153966848303355,0.5893976622788983,-4.26774119718186,1.974622211389677e-05,0.00038560187644721093,1.974622211389677e-05,True,tested,NM_198471,11,down
MGAT4A,291.2222480612609,-1.96560825315147,0.4606434414696958,-4.26709267124295,1.980369093643485e-05,0.0003860066363231624,1.980369093643485e-05,True,tested,NM_012214,16,down
DLC1,489.5439070664709,-1.7858639858282896,0.41858695333165524,-4.266411008785819,1.9864267812171367e-05,0.00038647036599013406,1.9864267812171367e-05,True,tested,NM_182643,18,down
ZNF185,3246.9193089455653,-1.6630834060896205,0.3899699781733678,-4.264644714138144,2.0022054083624046e-05,0.00038882014824871393,2.0022054083624046e-05,True,tested,NM_007150,23,down
TGM5,162.56641813811834,-2.88356764924773,0.6764408477911174,-4.262852633255178,2.0183363212165076e-05,0.00039122954595388615,2.0183363212165076e-05,True,tested,NM_201631,13,down
LIFR,397.56604322830543,-2.415337837434052,0.5673624179925467,-4.257133995550938,2.0706426080908892e-05,0.0004006293046151544,2.0706426080908892e-05,True,tested,NM_001127671,20,down
FBLN5,142.1271961559059,-2.126402696278935,0.5004471397021865,-4.249005594365763,2.1472155720488096e-05,0.00041468100735192633,2.1472155720488096e-05,True,tested,NM_006329,11,down
RNF180,73.01889770137356,-3.2646524979640446,0.7684558506837248,-4.248327987950586,2.153719205538937e-05,0.00041517383437416646,2.153719205538937e-05,True,tested,NM_001113561,8,down
SBSN,3612.296881699172,-1.9381514173845673,0.4562936669573069,-4.247596575925982,2.1607603053773017e-05,0.00041576827414457754,2.1607603053773017e-05,True,tested,NM_198538,5,down
SCN3B,61.98046430531965,-2.8234238800688423,0.6648721511574693,-4.246566614579316,2.1707126195178504e-05,0.00041691968520392205,2.1707126195178504e-05,True,tested,NM_001040151,7,down
ITIH5,224.53850126348388,-2.019971201628928,0.4771148821427307,-4.2337208023300485,2.298562833773997e-05,0.0004390672933023566,2.298562833773997e-05,True,tested,NM_030569,14,down
CRYAB,2014.2067696504103,-2.493922964486747,0.5897359290995459,-4.228880828567899,2.3485670144610028e-05,0.00044780481041610336,2.3485670144610028e-05,True,tested,NM_001885,3,down
XYLT1,601.7654641278745,-1.8253648556214934,0.4321136265350079,-4.224270524071544,2.397159649625437e-05,0.0004562420159232761,2.397159649625437e-05,True,tested,NM_022166,12,down
SFRP2,1160.6599115688325,-1.673965844460805,0.39675002490571676,-4.219195310343344,2.451758148720064e-05,0.0004657897126664194,2.451758148720064e-05,True,tested,NM_003013,3,down
PLXNA4,126.50156898766575,-2.5780484997473985,0.6116315318366433,-4.215035304026726,2.4973911903097382e-05,0.00047189913390996603,2.4973911903097382e-05,True,tested,NM_020911,32,down
PCDH1,874.8434072706596,-1.6411059120892997,0.3895963722781733,-4.212323391239238,2.5275732179477608e-05,0.00047674477967251657,2.5275732179477608e-05,True,tested,NM_032420,5,down
RGS5,506.6071956266446,-2.270383612745147,0.5395907120438049,-4.2076032112295385,2.580935334974241e-05,0.0004859373947892361,2.580935334974241e-05,True,tested,NM_003617,5,down
FUT3,141.61738757078365,-2.0416318917865404,0.48573945100813115,-4.203142008641098,2.632353263868959e-05,0.0004938482748251301,2.632353263868959e-05,True,tested,NM_000149,3,down
MAN1C1,93.8054672894669,-3.1608978941744237,0.7521911061469195,-4.202253746878298,2.6427066241593146e-05,0.0004944060954463294,2.6427066241593146e-05,True,tested,NM_020379,12,down
