gene,GSM515513,GSM515514,GSM515515,GSM515516,GSM515517,GSM515518
A2M,11.605662415068732,8.702345072674708,11.42555088069566,9.105594454679448,13.074863925080114,10.450798388174356
A2ML1,13.992755721501695,10.504854711574882,13.967144077992371,11.46638880531392,11.952346105848877,9.672168221112566
A4GALT,7.820873528692023,8.883482855246621,7.072224431162701,8.38555232857778,8.746462922956065,7.009524925714413
AAAS,8.116461327915331,7.021965154687336,8.020806248219815,8.312196906740477,8.195361005431169,7.914334957844033
AACS,9.35335311545237,10.143922366418504,9.431529985342282,10.001735010182616,8.624543313134314,9.001102724843657
AADACL1,7.085205660253543,7.943630028020803,7.5322504665269605,8.413101609415113,7.137352769144902,7.417814760839051
AAK1,10.86557123961845,10.418540277795863,10.294720304053094,10.605972978702603,10.959753211939546,10.751658247881846
AARS,10.652944679126362,11.347482270119317,9.64389172452411,11.681107100911948,10.531812101608178,11.061020756115903
AARS2,8.795292454232863,8.587615806095066,8.700971303683765,8.739633468915155,8.736848159799134,8.01571126150001
AARSD1,7.114434782547826,7.934269630693773,7.363299343263992,6.765076412653279,7.890012559441191,6.936940892583054
AASDH,7.341532516456151,5.865849788141504,7.8657034907666965,7.444282446090182,7.05926992351585,7.601226532490389
AASDHPPT,8.427193354523695,8.403159820681159,8.786019665316664,7.9586594621387015,8.189733743385789,8.788377109556137
AASS,8.711693697216528,3.7800116293166943,8.805551156098911,8.773430008030486,8.36972457218414,7.248203518764858
AATF,7.820873528692023,9.099867933168387,8.000612457226948,10.157610162723163,7.736370923430807,8.494495431726495
ABAT,7.0094320858641534,5.459035062018693,7.404869155923347,6.325749851757525,6.232119364331879,5.607843308303295
ABBA-1,10.14301686383139,11.460201943159326,9.847930125145218,9.982160989145317,10.340655767444044,9.865989229688822
ABCA1,12.076269489256909,10.757941065777016,11.57187314785725,11.683129049929963,12.110551482746033,11.920530202465754
ABCA10,8.586910134632454,1.3741462633458883,9.283385416467537,5.55623341697374,8.738776245429445,6.328730135294356
ABCA11P,6.445474488312734,6.015376882818204,7.230880493569439,6.09250908826653,6.803319086599805,6.290400317810521
ABCA12,8.663067608324457,11.267746467107349,7.384233968479108,9.532591509347215,8.359736209802943,10.362721005637757
ABCA2,8.920552699312257,9.390798626696114,8.79386402059631,10.6454993682515,9.25484036211096,7.716533689307457
ABCA3,7.738786645205379,4.965818889267369,7.006234623822577,8.381573418240094,8.099581892343302,6.096688621895799
ABCA5,10.103474692721397,7.837165529164562,11.113972830631452,8.858911255306808,9.488209922189123,8.792954020467098
ABCA6,9.06229255658991,4.965818889267369,8.786019665316664,5.611637206641086,9.865287458637058,6.920302888225159
ABCA7,10.248954117853241,8.854001780563241,9.377742595468847,8.812376710290746,9.54440756341201,7.9679386441533
ABCA8,9.389670591865265,5.35062516959131,8.977272321692169,4.792391663495625,9.973226478416297,6.290400317810521
ABCA9,8.444560112535825,3.60229212923849,8.202690379125762,5.343624639240301,9.035532955793874,6.483978040038478
ABCB10,7.719892997371817,7.5733837751723945,7.835619777927434,7.436632351263239,7.82615864860399,7.96388525706643
ABCB6,7.803031375162908,8.62300260266182,7.797110920439455,7.349689897473782,7.770699477867077,8.054347849934867
ABCB7,7.515955635095295,6.468712972803423,7.757545917358311,7.616675971313874,7.333827707683202,7.611627244336973
ABCB8,8.687585511086008,8.501506223246668,8.220260795751951,8.377583503829245,8.595045898163887,7.901676828053462
ABCB9,6.139101779964828,7.473527691002429,6.413357219070781,6.204858659996884,6.253854853849576,6.8778485313940845
ABCC1,11.12453134816232,12.728837354297278,11.05644374526984,12.055089957201876,10.910996844154141,10.851020567995304
ABCC10,9.088306538262792,9.227968241960522,9.364634984621969,9.741053917132824,9.451059495727142,9.140506693191597
ABCC3,9.32862340270377,9.879518198569047,9.744464146590659,9.896920555422932,7.957796532159788,8.023521800371777
ABCC4,7.601019984191652,8.663219208847156,8.178925249384587,9.117605258421156,8.5118012722332,7.357296138118475
ABCC5,10.662871066661063,10.732515593921754,10.825306881184655,11.457438429240094,10.879884006979905,10.692872894149877
ABCC9,9.016575918796393,4.810775211716269,8.579163960078136,4.53017885220451,10.371429368334892,7.172947614493377
ABCD1,6.325619535092388,7.14066348574045,6.656460089798902,6.637417799333701,7.506724476432059,7.151723176091277
ABCD3,8.969363053503029,9.185204549091964,9.280596688478955,8.061721387152382,8.759816842287668,8.527826823795422
ABCD4,7.995990985823677,8.495154312252316,8.762227393644862,8.585586071354422,8.72133000195974,8.273237581491381
ABCE1,9.069773110230594,9.313485633322436,8.809425923005769,8.917795134376103,8.212112282581929,9.034340449726423
ABCF1,10.225703616172266,10.421892935506271,9.924957572873883,10.2898067687371,10.15387071896527,10.221319484213675
ABCF2,8.586910134632454,8.167849879084413,7.415077113646737,8.436303670012869,8.475261095909289,7.580197426266012
ABCG1,8.109219582152408,8.745798433058114,8.395459919718327,9.003141512898994,8.220415543493973,8.058155203196295
ABHD10,7.303966618712855,8.56959150275625,7.835619777927434,7.111028693337884,7.227992491625769,7.8846246841972665
ABHD11,5.461933874751043,7.07403606467081,6.1937830906458196,6.4676357634755215,5.489688040447904,6.140443785745881
ABHD12,8.034729693262959,9.095675610237462,7.973240046268676,8.984898628357536,7.8225269656822265,7.115640130248696
ABHD13,8.273713892099568,8.61130318120051,8.570056898280155,7.758428982636113,8.342088426882343,8.392634370162481
ABHD14B,8.607615094520785,8.326524259635535,8.342960232760726,8.602778174701879,8.43777133739139,7.086109497160693
ABHD2,10.462915385262123,10.96171388631999,10.13715207848149,10.348059765738677,11.264489494001632,11.129117304616942
ABHD3,6.9779720403951,7.989542151560297,7.858241169044567,7.357813856350493,7.61984876866387,7.179953601704622
ABHD4,8.200640217736625,7.536742888137967,7.843199721399105,8.745837475149543,8.290443069839256,8.069517344764677
ABHD5,9.077215076263636,8.782775290180343,8.942408689319123,8.337065451462209,9.037100672141381,8.451718197205038
ABHD6,6.945810640826315,7.235167975693087,6.473202992514896,7.81262997636361,6.082247138150112,6.168893619197546
ABHD9,6.577279664422623,3.7800116293166943,6.263233599157441,4.972480399576731,5.786660616733042,4.862869603531521
ABI1,9.76169394431302,9.454389110874969,10.077347969982355,10.026153511482994,9.299938504513216,10.165938342628646
ABI2,9.211773583743065,10.07744879636502,9.343411905989639,9.48331594915337,9.744782379411436,8.987190869654139
ABI3,6.577279664422623,5.171013974081489,6.3928439465257085,6.406291158009749,7.302884297822623,6.4379638060227276
ABI3BP,8.920552699312257,2.064982646788904,8.601683233120648,4.885244223609616,10.623365497757241,6.210543322421704
ABL1,10.77580451145599,9.814681414333322,9.701323729097405,9.503594759403805,11.341051596686977,10.29173211441764
ABL2,10.157131300677765,10.433566259462477,9.112007818174451,10.272721701094921,10.9725086638664,11.053887923261657
ABLIM1,13.01976699779883,12.044178171185779,12.367654671215115,12.439827270401638,12.15526846877984,12.102073310133294
