gene,in_library
ANKRD5,False
ANKRD50,False
ANKRD52,False
ANKRD56,False
ANKRD57,False
ANKRD6,False
ANKRD9,False
ANKS1A,False
ANKS3,False
ANKS6,False
ANKZF1,True
ANLN,True
ANO1,True
ANO10,False
ANO2,False
ANO6,False
ANO8,False
ANO9,False
ANP32B,False
ANP32E,True
ANTXR1,False
ANTXR2,True
ANUBL1,False
ANXA1,True
ANXA11,False
ANXA2,True
ANXA2P2,False
ANXA3,False
ANXA4,True
ANXA5,True
ANXA6,False
ANXA7,False
ANXA8L2,False
ANXA9,True
AOC3,True
AOF1,False
AOF2,False
AOX1,True
AP1B1,False
AP1G1,True
AP1G2,False
AP1GBP1,False
AP1M1,False
AP1M2,False
AP1S1,False
AP1S2,False
AP1S3,False
AP2A1,False
AP2A2,False
AP2B1,True
AP2M1,True
AP2S1,True
AP3B1,True
AP3D1,False
AP3M1,False
AP3M2,False
AP3S2,False
AP4B1,True
AP4E1,False
AP4M1,False
APAF1,True
APBA3,False
APBB1,True
APBB3,False
APC,True
APCDD1,False
APEH,False
APEX1,True
APEX2,False
APH1A,True
API5,False
APLF,False
APLNR,True
APLP2,True
APOA1BP,False
APOB48R,False
APOBEC3C,False
APOD,True
APOL1,False
APOL2,False
APOL3,False
APOL6,True
APOLD1,False
APOOL,False
APP,True
APPBP2,True
APPL1,False
APPL2,False
APRT,True
APTX,False
AQP1,False
AQP3,True
AQR,False
ARAP1,False
ARAP3,True
ARCN1,True
ARF3,False
ARF4,True
ARF5,False
ARF6,True
ARFGAP1,True
ARFGAP2,False
ARFGAP3,True
ARFGEF1,True
ARFGEF2,True
ARFIP1,True
ARFIP2,True
ARFRP1,False
ARG2,True
ARGLU1,False
ARHGAP1,False
ARHGAP10,True
ARHGAP11A,False
ARHGAP12,False
ARHGAP17,False
ARHGAP18,False
ARHGAP19,False
ARHGAP20,False
ARHGAP21,False
ARHGAP24,False
ARHGAP25,False
ARHGAP26,False
ARHGAP28,False
ARHGAP29,True
ARHGAP30,False
ARHGAP4,True
ARHGAP5,True
ARHGAP8,False
ARHGAP9,False
ARHGDIB,False
ARHGEF1,False
ARHGEF10,False
ARHGEF10L,False
ARHGEF11,True
ARHGEF12,True
ARHGEF16,False
ARHGEF17,False
ARHGEF18,False
ARHGEF19,False
ARHGEF2,True
ARHGEF3,True
ARHGEF5,False
ARHGEF6,True
ARHGEF7,True
ARHGEF9,True
ARID1A,False
ARID1B,False
ARID2,False
ARID3A,False
ARID4A,True
ARID4B,True
ARID5A,False
ARID5B,True
ARIH1,False
ARIH2,False
ARL1,False
ARL10,False
ARL13B,False
ARL15,False
ARL16,False
ARL2,False
ARL2BP,True
ARL3,True
ARL4A,True
ARL4C,False
ARL4D,False
ARL5A,False
ARL5B,False
ARL6IP1,True
ARL6IP4,False
ARL6IP5,False
ARL8A,True
ARL8B,False
ARMC1,False
ARMC5,False
ARMC6,False
ARMC7,False
ARMC8,False
ARMC9,False
ARMCX1,False
ARMCX2,False
ARMCX3,False
ARMET,False
ARNT,False
ARNT2,False
ARNTL,False
ARNTL2,False
ARPC1A,False
ARPC1B,False
ARPC2,True
ARPC4,False
ARPC5,False
ARPC5L,True
ARPP-19,False
ARPP-21,False
ARRB1,True
ARRB2,True
ARRDC1,False
ARRDC2,False
ARRDC3,False
ARRDC4,False
ARS2,False
ARSA,False
ARSB,False
ARSD,False
ARSG,False
ARSI,False
ARSJ,False
ARV1,False
ASAH1,False
ASAM,False
ASAP1,False
ASAP2,False
ASAP3,False
ASB1,False
ASB2,False
ASB3,False
ASB5,False
ASB6,False
ASB7,True
ASB8,False
ASCC1,False
ASCC2,False
ASCC3,False
ASF1B,True
ASH1L,False
ASH2L,False
ASL,True
ASNA1,False
ASNS,True
ASNSD1,False
ASPH,False
ASPM,False
ASPN,False
ASPRV1,False
ASPSCR1,False
ASS1,True
ASTE1,False
ASTN2,False
ASXL1,False
ASXL2,False
ATAD1,False
ATAD2,True
ATAD2B,False
ATAD3A,False
ATAD3B,False
ATE1,False
ATF1,True
ATF2,False
ATF3,True
ATF4,True
ATF5,True
ATF6,True
ATF6B,False
ATF7,False
ATF7IP,False
ATF7IP2,False
ATG12,False
ATG16L1,False
ATG16L2,False
ATG2A,False
ATG2B,False
ATG4A,True
ATG4B,True
ATG4D,False
ATG5,False
ATG7,False
ATG9A,False
ATG9B,False
ATHL1,False
ATIC,False
ATL3,False
ATM,False
ATMIN,False
ATN1,False
ATOX1,True
ATP10A,False
ATP10B,False
ATP10D,False
ATP11A,False
ATP11B,False
ATP11C,False
ATP12A,False
ATP13A1,False
ATP13A2,False
ATP13A3,False
ATP13A4,False
ATP1A1,True
ATP1A2,False
ATP1B1,True
ATP1B3,True
ATP2A1,True
ATP2A2,True
ATP2A3,False
ATP2B1,True
ATP2B4,True
ATP2C1,True
ATP2C2,False
ATP5A1,False
ATP5B,False
ATP5C1,False
ATP5D,False
ATP5E,False
ATP5F1,False
ATP5G2,False
ATP5G3,False
ATP5H,False
ATP5J,False
ATP5L,False
ATP5O,False
ATP5SL,False
ATP6AP1,True
ATP6AP2,False
ATP6V0A1,True
ATP6V0A2,False
ATP6V0B,True
ATP6V0D1,True
ATP6V0E1,True
ATP6V0E2,False
ATP6V1A,False
ATP6V1B2,False
ATP6V1C1,True
ATP6V1C2,False
ATP6V1D,True
ATP6V1E1,True
ATP6V1F,True
ATP6V1G1,True
ATP6V1H,True
ATP7A,True
ATP7B,False
ATP8A1,False
ATP8B1,True
ATP8B2,False
ATP8B4,False
ATP9A,False
ATP9B,False
ATPAF1,False
ATPGD1,False
ATPIF1,False
ATR,False
ATRIP,False
ATRN,True
ATRX,True
ATXN1,True
ATXN10,False
ATXN1L,False
ATXN2,True
ATXN3,False
ATXN7,False
ATXN7L1,False
ATXN7L2,False
ATXN7L3,False
AUH,True
AUP1,False
AURKA,True
AURKAIP1,False
AURKB,True
AUTS2,True
AVEN,False
AVIL,False
AVL9,True
AVPI1,False
AXIN1,True
AXIN2,True
AXL,True
AXUD1,False
AZI1,False
AZI2,False
AZIN1,False
B2M,True
B3GALNT1,False
B3GALNT2,False
B3GALT4,False
B3GALT6,True
B3GALTL,False
B3GAT3,True
B3GNT1,False
B3GNT2,False
B3GNT5,False
B3GNT8,False
B4GALNT1,False
B4GALNT3,False
B4GALT1,True
B4GALT2,True
B4GALT3,False
B4GALT4,True
B4GALT5,True
B4GALT7,True
BACE1,False
BACE2,False
BACH1,True
BACH2,False
BAD,False
BAG1,True
BAG3,True
BAG4,False
BAG5,False
BAHD1,False
BAI1,False
BAIAP2,True
BAIAP2L2,False
BANP,False
BAP1,False
BARD1,True
BARX2,False
BASP1,True
BAT1,False
BAT2,False
BAT2D1,False
BAT2L,False
BAT3,False
BAT4,False
BAT5,False
BAX,True
BAZ1A,False
BAZ1B,False
BAZ2A,True
BAZ2B,False
BBS1,False
BBS10,False
BBS2,False
BBS4,False
BBS7,False
BBS9,False
BBX,False
BCAM,True
BCAP29,False
BCAP31,True
BCAR1,True
BCAR3,True
BCAS2,False
BCAS3,False
BCAT1,True
BCAT2,False
BCCIP,False
BCDIN3D,False
BCKDHA,True
BCKDHB,True
BCKDK,False
BCL10,True
BCL11A,False
BCL11B,True
BCL2,True
BCL2L1,True
BCL2L11,True
BCL2L13,True
BCL2L2,True
BCL3,True
BCL6,True
BCL6B,False
BCL7A,False
BCL7B,False
BCL9,False
BCL9L,False
BCLAF1,False
BCOR,False
BCORL1,False
BCR,True
BCS1L,False
BDH1,False
BDH2,True
BDKRB2,True
BDP1,False
BECN1,False
BEND3,False
BEST3,False
BET1,True
BET1L,False
BEX4,False
BFAR,False
BGN,True
BHLHB2,False
BHLHB3,False
BICC1,False
BICD2,False
BID,True
BIN1,True
BIN3,False
BIRC2,True
BIRC3,True
BIRC5,True
BIRC6,False
BIVM,False
BLCAP,True
BLM,False
BLMH,False
BLNK,False
BLOC1S2,False
BLOC1S3,False
BLVRA,True
BLZF1,False
BMF,True
BMI1,False
BMP1,True
BMP2,True
BMP2K,True
BMP4,False
BMP7,False
BMPR2,True
BMS1,False
BNC1,False
BNC2,False
BNIP2,False
BNIP3L,True
BNIPL,False
BOC,False
BOK,False
BPGM,True
BPHL,True
BPNT1,True
BPTF,False
BRAF,True
BRAP,False
BRCA1,True
BRCA2,True
BRCC3,False
BRD1,False
BRD2,False
BRD3,False
BRD4,False
BRD7,False
BRD8,False
BRD9,False
BRE,False
BRF1,False
BRF2,True
BRI3BP,False
BRIP1,False
BRMS1,False
BRMS1L,True
BRPF1,False
BRPF3,True
BRWD1,False
BRWD2,False
BRWD3,False
BSCL2,False
BSG,True
BSPRY,False
BTAF1,False
BTBD1,False
BTBD10,False
BTBD11,False
BTBD12,False
BTBD2,False
BTBD3,True
BTBD6,False
BTBD7,False
BTBD9,False
BTD,False
BTF3,False
BTF3L4,False
BTG1,True
BTG2,True
BTG3,True
BTN2A1,False
BTN2A2,False
BTN3A1,False
BTN3A3,False
BTRC,True
BUB1,True
BUB1B,True
BUB3,True
BUD13,False
BUD31,False
BVES,False
BXDC5,False
BYSL,True
BZRAP1,False
BZW1,False
BZW2,False
C10orf10,False
C10orf116,False
C10orf118,False
C10orf119,False
C10orf12,False
C10orf137,False
C10orf18,False
C10orf2,False
C10orf26,False
C10orf28,False
C10orf4,False
C10orf46,False
C10orf54,False
C10orf58,False
C10orf71,False
C10orf72,False
C10orf76,False
C10orf78,False
C10orf84,False
C10orf88,False
C10orf97,False
C10orf99,False
C11orf2,False
C11orf24,False
C11orf30,False
C11orf31,False
C11orf41,False
C11orf46,False
C11orf47,False
C11orf51,False
C11orf54,False
C11orf57,False
C11orf58,False
C11orf60,False
C11orf61,False
C11orf68,False
C11orf80,False
C11orf82,False
C12orf10,False
C12orf11,False
C12orf23,False
C12orf29,False
C12orf30,False
C12orf32,False
C12orf35,False
C12orf4,False
C12orf41,False
C12orf43,False
C12orf44,False
C12orf47,False
C12orf48,False
C12orf49,False
C12orf5,False
C12orf51,False
C12orf52,False
C12orf66,False
C13orf15,False
C13orf23,False
C13orf3,False
C13orf31,False
C13orf34,False
C13orf37,False
C14orf1,False
C14orf100,False
C14orf101,False
C14orf102,False
C14orf104,False
C14orf106,False
C14orf108,False
C14orf118,False
C14orf119,False
C14orf124,False
C14orf126,False
C14orf132,False
C14orf133,False
C14orf135,False
C14orf138,False
C14orf145,False
C14orf147,False
C14orf149,False
C14orf151,False
C14orf153,False
C14orf159,False
C14orf166,False
C14orf167,False
C14orf169,False
C14orf172,False
C14orf21,False
C14orf4,False
C14orf43,False
C14orf49,False
C14orf79,False
C14orf80,False
C14orf93,False
C14orf94,False
C15orf15,False
C15orf17,False
C15orf29,False
C15orf39,False
C15orf41,False
C15orf42,False
C15orf44,False
C15orf48,False
C15orf52,False
C15orf57,False
C15orf62,False
C16orf13,False
C16orf35,False
C16orf42,False
C16orf5,False
C16orf53,False
C16orf57,False
C16orf58,False
C16orf62,False
C16orf63,False
C16orf67,False
C16orf68,False
C16orf7,False
C16orf72,False
C16orf74,False
C16orf80,False
C16orf84,False
C16orf88,False
C17orf28,False
C17orf39,False
C17orf42,False
C17orf49,False
C17orf53,False
C17orf56,False
C17orf59,False
C17orf63,False
C17orf65,False
C17orf68,False
C17orf70,False
C17orf71,False
C17orf75,False
C17orf79,False
C17orf80,False
C17orf81,False
C17orf85,False
C17orf89,False
C17orf91,False
C17orf96,False
C18orf1,False
C18orf10,False
C18orf19,False
C18orf22,False
C18orf24,False
C18orf25,False
C18orf26,False
C18orf32,False
C18orf45,False
C18orf54,False
C18orf55,False
C18orf8,False
C19orf10,False
C19orf12,False
C19orf2,False
C19orf22,False
C19orf24,False
C19orf25,False
C19orf26,False
C19orf28,False
C19orf29,False
C19orf33,False
C19orf42,False
C19orf44,False
C19orf47,False
C19orf48,False
C19orf50,False
C19orf52,False
C19orf54,False
C19orf55,False
C19orf56,False
C19orf6,False
C19orf61,False
C19orf62,False
C19orf63,False
C19orf66,False
C1GALT1,False
C1GALT1C1,False
C1QA,True
C1QB,False
C1QBP,True
C1QC,True
C1QTNF1,False
C1QTNF3,False
C1QTNF5,False
C1QTNF6,False
C1RL,False
C1S,True
C1orf103,False
C1orf106,False
C1orf107,False
C1orf109,False
C1orf112,False
C1orf113,False
C1orf115,False
C1orf116,False
C1orf124,False
C1orf128,False
C1orf144,False
C1orf149,False
C1orf151,False
C1orf159,False
C1orf161,False
C1orf163,False
C1orf172,False
C1orf175,False
C1orf183,False
C1orf198,False
C1orf2,False
C1orf201,False
C1orf204,False
C1orf21,False
C1orf210,False
C1orf213,False
C1orf216,False
C1orf225,False
C1orf226,False
C1orf25,False
C1orf26,False
C1orf27,False
C1orf31,False
C1orf35,False
C1orf38,False
C1orf43,False
C1orf52,False
C1orf55,False
C1orf58,False
C1orf63,False
C1orf66,False
C1orf69,False
C1orf71,False
C1orf77,False
C1orf83,False
C1orf85,False
C1orf9,False
C1orf93,False
C1orf96,False
C2,True
C20orf108,False
C20orf11,False
C20orf111,False
C20orf112,False
C20orf117,False
C20orf151,False
C20orf177,False
C20orf194,False
C20orf199,False
C20orf20,False
C20orf24,False
C20orf27,False
C20orf29,False
C20orf3,False
C20orf4,False
C20orf43,False
C20orf59,False
C20orf7,False
C20orf72,False
C20orf74,False
C20orf82,False
C20orf94,False
C21orf2,False
C21orf33,False
C21orf45,False
C21orf58,False
C21orf59,False
C21orf66,False
C21orf91,False
C22orf13,False
C22orf25,False
C22orf28,False
C22orf29,False
C22orf30,False
C22orf32,False
C22orf40,False
C22orf9,False
C2CD2,False
C2CD2L,False
C2CD3,False
C2orf18,False
C2orf24,False
C2orf28,False
C2orf29,False
C2orf3,False
C2orf30,False
C2orf37,False
C2orf42,False
C2orf43,False
C2orf44,False
C2orf47,False
C2orf49,False
C2orf54,False
C2orf55,False
C2orf56,False
