gene,GSM515513,GSM515514,GSM515515,GSM515516,GSM515517,GSM515518
A2M,3115.3950545224307,415.5497704657208,2749.6385928880304,549.880068305333,8627.319745499311,1398.5995477472452
A2ML1,16300.93638920724,1452.0359795583806,16014.087699848538,2828.6125456711516,3961.9144443322016,814.8545833183347
A4GALT,225.10883087985448,471.2748354707025,133.57106512497654,333.42811511981665,428.4846986885777,127.84787427925596
AAAS,276.5225762042657,128.96372186867197,258.7187297465762,316.8488165779473,292.12272400606093,240.2416099093711
AACS,653.0935216884667,1130.4227472439147,689.5154983478518,1024.232221031039,393.68101477379304,511.39149711702385
AADACL1,134.78738639102397,245.19028602191955,184.11146814523792,339.87562010832136,139.78528785446275,169.99552514054915
AAK1,1864.790438523239,1367.6523096936942,1255.086675003158,1557.5329907945024,1990.6566094866146,1723.1364593792027
AARS,1609.1112725856265,2604.7487528042884,799.0197048917515,3282.701111290128,1479.4418424760079,2135.4809769721874
AARS2,443.2698583374912,383.7068761771598,415.1533105235757,426.45640138252793,425.63193771195597,257.8031311015766
AARSD1,137.56650775991108,243.59814130749152,163.6546383513226,107.76544052215068,236.20860886427585,121.52572665006198
AASDH,161.18903939545135,57.31720971940977,232.24518530739164,173.16156254841306,132.36810931524636,193.1767331142604
AASDHPPT,343.2214890575559,337.5346794587464,440.4235120337064,247.76840598682506,290.9816196154123,441.1454123482019
AASS,418.2577660175074,12.737157715424392,446.44022667897565,436.5881949358925,329.77916889746723,151.0290822529672
AATF,225.10883087985448,547.6977817632488,255.10870095941465,1141.2083829653393,212.24541666065366,359.65995401636843
ABAT,127.83958296880624,42.98790728955733,168.468010067538,79.21220414448682,74.17178539216391,47.767337642798935
ABBA-1,1129.712836452603,2816.5039998232187,920.5573407261896,1010.4161389128145,1295.7240355815711,932.1655448822675
ABCA1,4317.365046566098,1730.6613045832894,3043.2542675771683,3287.306471996203,4421.2089615682935,3875.4764966959074
ABCA10,383.51874890641875,1.592144714428049,622.1282943208366,46.053607060748156,426.2024899072803,79.37807578876881
ABCA11P,86.15276243549987,63.68578857712196,149.2145232026765,67.2382663086923,110.68712589292153,77.27069324570415
ABCA12,404.3621591730719,2464.64001793462,166.0613242094303,739.6209293956153,327.4969601161699,1315.7091677200353
ABCA2,483.56711818635404,670.2929247742087,442.8301978918141,1600.8233814316059,609.9202968017171,209.33333261108945
ABCA3,212.60278471986257,30.250749574132932,127.55435047970732,332.50704297860165,273.2945015603578,67.43624137806908
ABCA5,1099.142501394845,227.676694163211,2215.3543323881245,463.2992870311264,717.1841095226926,442.55033404357835
ABCA6,533.5913028263217,30.250749574132932,440.4235120337064,47.89575134317808,931.7117349646436,120.12080495468555
ABCA7,1215.8655988881028,461.7219671841342,664.2452968377212,448.562132771687,745.7117192889094,249.37360092931794
ABCA8,669.7682499017892,39.80361786070122,502.99734434450625,26.71109209523393,1004.1718637708344,77.27069324570415
ABCA9,347.3901711108865,11.145013000996343,293.6156746891376,39.60610207224341,523.7669153077421,88.51006680871566
ABCB10,209.82366335097547,189.46522101693785,227.43181359117628,172.24049040719808,225.93866934843777,248.67114008162974
ABCB6,222.32970951096738,393.2597444637281,221.41509894590706,162.1086968538335,217.3803864185727,264.82773957845876
ABCB7,182.03244966210454,87.5679592935427,215.39838430063784,195.26729393757216,160.3251668861389,194.58165480963683
ABCB8,411.3099625952897,361.41685017516716,297.22570347629915,331.5859708373867,385.6932840392523,238.13422736630645
ABCB9,69.47803422217731,176.72806330151346,84.234005033769,72.76469915598209,75.31288978281259,116.60850071624445
ABCC1,2231.634459216335,6787.312917606773,2128.713641496248,4254.432220271914,1924.4725548289914,1846.0671077246411
ABCC10,543.3182276174265,598.6464126249465,658.228582192452,854.7549470474858,698.9264392723138,563.3735998459521
ABCC3,641.9770362129183,940.9575262269769,856.780165486336,952.3885940162718,247.6196527707626,259.20805279695304
ABCC4,193.14893513765293,404.40475746472447,288.80230297292223,554.4854290114077,364.0123006169275,162.97091666366694
ABCC5,1620.2277580611749,1700.4105550091565,1813.437794084141,2811.112174988067,1883.3927967656389,1654.2952963057571
ABCC9,516.9165746129992,27.066460145276835,381.45970851006814,22.105731389159114,1323.6810931524635,143.3020129283968
ABCD1,79.20495901328214,140.10873486966833,99.87746311146894,98.55471911000105,180.86504591781508,141.19463038533215
ABCD3,500.2418463996766,581.132820766238,620.9249513917828,266.1898488111243,432.47856405584804,368.08948418862707
ABCD4,254.28960525316896,359.8247054607391,433.20345445938335,383.1660107454246,421.06752014936126,308.3803121351284
ABCE1,536.3704241952088,635.2657410567916,447.64356960802945,482.64180199664065,295.54603717800694,523.3333315277235
