sample_accession,retained_count_sum,size_factor
GSM515513,7944551,0.7196519095533083
GSM515514,7365969,0.6280836100751263
GSM515515,15871987,0.8310183039728118
GSM515516,14198323,1.0856912887202572
GSM515517,21502237,1.7526880243297234
GSM515518,15068842,1.423566883892496
